platform,vflows,configuration,resource,unit,value,source
quartus,512,replay,registers,bits,378113,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,512,static,block_memory_bits,bits,187200,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,block_memory_bits,bits,271680,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,512,static,mlab_memory_bits,bits,0,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,mlab_memory_bits,bits,0,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,512,static,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
vivado,512,static,logic_luts,LUTs,267449,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,logic_luts,LUTs,375160,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,registers,bits,264471,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,registers,bits,377201,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,bram36_tiles,tiles,16.0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,bram36_tiles,tiles,21.0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,bram_uram_allocated_bits,bits,589824,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,bram_uram_allocated_bits,bits,774144,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,lutram_luts,LUTs,628,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,lutram_luts,LUTs,628,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
quartus,1024,static,logic_alms,ALMs,551794,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,logic_alms,ALMs,654026,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,logic_aluts,ALUTs,746094,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,logic_aluts,ALUTs,1170520,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,registers,bits,503501,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,registers,bits,821071,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,block_memory_bits,bits,374640,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,block_memory_bits,bits,558960,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,mlab_memory_bits,bits,0,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,mlab_memory_bits,bits,0,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
vivado,1024,static,logic_luts,LUTs,578413,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,logic_luts,LUTs,809043,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,registers,bits,574237,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,registers,bits,820107,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,tiles,21.0,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,tiles,28.5,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,bits,774144,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,bits,1050624,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,lutram_luts,LUTs,788,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,lutram_luts,LUTs,788,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
