schema=pifo-transactions-v1 rootEngine=1 rootVPifoId=1 numEngines=7 numVPifos=128 maxPacketPriority=16777216 fifoDepth=4 prefetchBufferDepth=16
at=init name=initial mode=direct command=UpdateBrainEngine engineId=1 vPifoId=1 flowId=0 data=4
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPost engineId=2 vPifoId=2 flowId=259 data=387
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPre engineId=3 vPifoId=3 flowId=0 data=3
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPost engineId=3 vPifoId=3 flowId=387 data=3
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPre engineId=1 vPifoId=4 flowId=0 data=1
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPost engineId=1 vPifoId=1 flowId=132 data=258
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPre engineId=2 vPifoId=4 flowId=0 data=2
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPost engineId=2 vPifoId=2 flowId=260 data=388
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPre engineId=3 vPifoId=4 flowId=0 data=4
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=UpdateMapperPost engineId=3 vPifoId=4 flowId=388 data=4
at=2000 name=request mode=stop_the_world minStopCycles=1025 command=CommitMapper engineId=1 vPifoId=0 flowId=0 data=0
at=2000 name=retire mode=direct cleanupOf=request command=CommitMapper engineId=1 vPifoId=0 flowId=0 data=0
