platform,vflows,variant,baseline,resource,baseline_value,value,absolute_change,percent_change
quartus,1024,dynamic,static,block_memory_bits,880804632.0,2516583192.0,1635778560.0,185.7141187241168
quartus,1024,dynamic,static,dsp_blocks,0.0,0.0,0.0,
quartus,1024,dynamic,static,logic_alms,249166.0,526738.0,277572.0,111.40043184062031
quartus,1024,dynamic,static,logic_aluts,257723.0,665003.0,407280.0,158.03013312742752
quartus,1024,dynamic,static,registers,145293.0,268960.0,123667.0,85.11559400659357
vivado,1024,dynamic,static,bram36_tiles,35850.0,81937.5,46087.5,128.55648535564853
vivado,1024,dynamic,static,bram_uram_allocated_bits,1321574400.0,3020544000.0,1698969600.0,128.55648535564853
vivado,1024,dynamic,static,dsp_blocks,0.0,0.0,0.0,
vivado,1024,dynamic,static,logic_luts,219107.0,345710.0,126603.0,57.78135796665556
vivado,1024,dynamic,static,lutram_luts,824.0,824.0,0.0,0.0
vivado,1024,dynamic,static,registers,84909.0,76037.0,-8872.0,-10.448833456995136
vivado,1024,dynamic,static,uram288_blocks,0.0,0.0,0.0,
