run,flow,first_service_cycles_from_t1
rio,Video,96
rio,Chat,210
rio,Game,111
rio,Vr,135
prefill,Video,1583
prefill,Chat,3356
prefill,Game,1586
prefill,Vr,1610
reset,Video,1078
reset,Chat,1381
reset,Game,1081
reset,Vr,1099
