platform,vflows,variant,resource,value,source
quartus,256,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-quartus/resource-summary.json
quartus,256,dynamic,logic_alms,66104.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-quartus/resource-summary.json
quartus,256,dynamic,logic_aluts,70781.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-quartus/resource-summary.json
quartus,256,dynamic,mlab_memory_bits,0.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-quartus/resource-summary.json
quartus,256,dynamic,registers,61244.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-quartus/resource-summary.json
quartus,256,static,block_memory_bits,49841312.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,256,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,256,static,logic_alms,10528.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,256,static,logic_aluts,12722.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,256,static,mlab_memory_bits,0.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,256,static,registers,1597.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json
quartus,512,dynamic,block_memory_bits,587203292.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
quartus,512,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
quartus,512,dynamic,logic_alms,199435.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
quartus,512,dynamic,logic_aluts,203606.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
quartus,512,dynamic,mlab_memory_bits,0.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
quartus,512,dynamic,registers,127982.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-quartus/resource-summary.json
quartus,512,static,block_memory_bits,209715932.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,512,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,512,static,logic_alms,87531.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,512,static,logic_aluts,80970.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,512,static,mlab_memory_bits,0.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,512,static,registers,70950.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json
quartus,1024,dynamic,block_memory_bits,2516583192.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,dsp_blocks,0.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,logic_alms,526738.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,logic_aluts,665003.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,registers,268960.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
