platform,vflows,variant,baseline,resource,baseline_value,value,absolute_change,percent_change
quartus,1024,replay_m20k,replay,mlab_memory_bits,0.0,0.0,0.0,
quartus,1024,replay_m20k,static,registers,145293.0,268415.0,123122.0,84.74048990660252
quartus,1024,replay_m20k,dynamic,registers,268960.0,268415.0,-545.0,-0.20263236168947055
quartus,1024,replay_m20k,replay,registers,923812.0,268415.0,-655397.0,-70.94484592103156
vivado,32,dynamic,static,bram36_tiles,30.0,60.0,30.0,100.0
vivado,32,dynamic,static,bram_uram_allocated_bits,1105920.0,2211840.0,1105920.0,100.0
vivado,32,dynamic,static,dsp_blocks,0.0,0.0,0.0,
vivado,32,dynamic,static,logic_luts,3309.0,3853.0,544.0,16.44001208824418
vivado,32,dynamic,static,lutram_luts,532.0,592.0,60.0,11.278195488721805
vivado,32,dynamic,static,registers,2036.0,2355.0,319.0,15.667976424361493
vivado,32,dynamic,static,uram288_blocks,0.0,0.0,0.0,
vivado,32,replay,static,bram36_tiles,30.0,51.5,21.5,71.66666666666667
vivado,32,replay,dynamic,bram36_tiles,60.0,51.5,-8.5,-14.166666666666666
vivado,32,replay,static,bram_uram_allocated_bits,1105920.0,1898496.0,792576.0,71.66666666666667
vivado,32,replay,dynamic,bram_uram_allocated_bits,2211840.0,1898496.0,-313344.0,-14.166666666666666
vivado,32,replay,static,dsp_blocks,0.0,0.0,0.0,
vivado,32,replay,dynamic,dsp_blocks,0.0,0.0,0.0,
vivado,32,replay,static,logic_luts,3309.0,4011.0,702.0,21.214868540344515
vivado,32,replay,dynamic,logic_luts,3853.0,4011.0,158.0,4.100700752660265
vivado,32,replay,static,lutram_luts,532.0,552.0,20.0,3.7593984962406015
vivado,32,replay,dynamic,lutram_luts,592.0,552.0,-40.0,-6.756756756756757
vivado,32,replay,static,registers,2036.0,2125.0,89.0,4.3713163064833
vivado,32,replay,dynamic,registers,2355.0,2125.0,-230.0,-9.766454352441613
vivado,32,replay,static,uram288_blocks,0.0,0.0,0.0,
vivado,32,replay,dynamic,uram288_blocks,0.0,0.0,0.0,
vivado,64,dynamic,static,bram36_tiles,120.0,240.0,120.0,100.0
vivado,64,dynamic,static,bram_uram_allocated_bits,4423680.0,8847360.0,4423680.0,100.0
vivado,64,dynamic,static,dsp_blocks,0.0,0.0,0.0,
vivado,64,dynamic,static,logic_luts,3684.0,5991.0,2307.0,62.62214983713355
vivado,64,dynamic,static,lutram_luts,612.0,732.0,120.0,19.607843137254903
vivado,64,dynamic,static,registers,2886.0,4216.0,1330.0,46.08454608454608
vivado,64,dynamic,static,uram288_blocks,0.0,0.0,0.0,
vivado,128,dynamic,static,bram36_tiles,500.0,1040.0,540.0,108.0
vivado,128,dynamic,static,bram_uram_allocated_bits,18432000.0,38338560.0,19906560.0,108.0
vivado,128,dynamic,static,dsp_blocks,0.0,0.0,0.0,
vivado,128,dynamic,static,logic_luts,7362.0,14035.0,6673.0,90.6411301276827
vivado,128,dynamic,static,lutram_luts,832.0,1072.0,240.0,28.846153846153847
vivado,128,dynamic,static,registers,6107.0,8707.0,2600.0,42.574095300474866
vivado,128,dynamic,static,uram288_blocks,0.0,0.0,0.0,
vivado,128,replay,static,bram36_tiles,500.0,694.0,194.0,38.8
vivado,128,replay,dynamic,bram36_tiles,1040.0,694.0,-346.0,-33.26923076923077
vivado,128,replay,static,bram_uram_allocated_bits,18432000.0,25583616.0,7151616.0,38.8
