request_id,flow,flow_name,size_bytes,push_cycle,pop_cycle,delay_cycles,dropped
176,2,gmail,48,435,724,289,false
177,2,gmail,48,439,731,292,false
178,1,zoom,48,442,458,16,false
179,2,gmail,48,442,738,296,false
180,2,gmail,48,446,745,299,false
181,1,zoom,48,450,465,15,false
182,2,gmail,48,450,751,301,false
183,2,gmail,48,454,754,300,false
184,1,zoom,48,458,471,13,false
185,2,gmail,48,458,761,303,false
186,2,gmail,48,461,768,307,false
187,1,zoom,48,465,478,13,false
188,2,gmail,48,465,775,310,false
189,2,gmail,48,469,781,312,false
190,1,zoom,48,472,488,16,false
191,2,gmail,48,472,784,312,false
192,2,gmail,48,476,791,315,false
193,1,zoom,48,480,495,15,false
194,2,gmail,48,480,798,318,false
195,2,gmail,48,484,805,321,false
196,1,zoom,48,488,501,13,false
197,2,gmail,48,488,811,323,false
198,2,gmail,48,491,814,323,false
199,1,zoom,48,495,508,13,false
200,2,gmail,48,495,821,326,false
201,2,gmail,48,499,828,329,false
202,1,zoom,48,502,518,16,false
203,2,gmail,48,502,835,333,false
204,2,gmail,48,506,841,335,false
205,1,zoom,48,510,525,15,false
206,2,gmail,48,510,844,334,false
207,2,gmail,48,514,851,337,false
208,1,zoom,48,518,531,13,false
209,2,gmail,48,518,858,340,false
210,2,gmail,48,521,865,344,false
211,1,zoom,48,525,538,13,false
212,2,gmail,48,525,871,346,false
213,2,gmail,48,529,874,345,false
214,1,zoom,48,532,548,16,false
215,2,gmail,48,532,881,349,false
216,2,gmail,48,536,888,352,false
217,1,zoom,48,540,555,15,false
218,2,gmail,48,540,895,355,false
219,2,gmail,48,544,901,357,false
220,1,zoom,48,548,561,13,false
221,2,gmail,48,548,904,356,false
222,2,gmail,48,551,911,360,false
223,1,zoom,48,555,568,13,false
224,2,gmail,48,555,918,363,false
225,2,gmail,48,559,925,366,false
226,1,zoom,48,562,578,16,false
227,2,gmail,48,562,931,369,false
228,2,gmail,48,566,934,368,false
229,1,zoom,48,570,585,15,false
230,2,gmail,48,570,941,371,false
231,2,gmail,48,574,948,374,false
232,1,zoom,48,578,591,13,false
233,2,gmail,48,578,955,377,false
234,2,gmail,48,581,961,380,false
235,1,zoom,48,585,598,13,false
236,2,gmail,48,585,964,379,false
237,2,gmail,48,589,971,382,false
238,1,zoom,48,592,608,16,false
239,2,gmail,48,592,978,386,false
240,2,gmail,48,596,985,389,false
241,1,zoom,48,600,615,15,false
242,2,gmail,48,600,991,391,false
243,2,gmail,48,604,994,390,false
244,1,zoom,48,608,621,13,false
245,2,gmail,48,608,1001,393,false
246,2,gmail,48,611,1008,397,false
247,1,zoom,48,615,628,13,false
248,2,gmail,48,615,1015,400,false
249,2,gmail,48,619,1021,402,false
250,1,zoom,48,622,638,16,false
251,2,gmail,48,622,1024,402,false
252,2,gmail,48,626,1031,405,false
253,1,zoom,48,630,645,15,false
254,2,gmail,48,630,1038,408,false
255,2,gmail,48,634,1045,411,false
256,1,zoom,48,638,651,13,false
257,2,gmail,48,638,1051,413,false
258,2,gmail,48,641,1054,413,false
259,1,zoom,48,645,658,13,false
260,2,gmail,48,645,1061,416,false
261,2,gmail,48,649,1068,419,false
262,1,zoom,48,652,668,16,false
263,2,gmail,48,652,1075,423,false
264,2,gmail,48,656,1081,425,false
265,1,zoom,48,660,675,15,false
266,2,gmail,48,660,1084,424,false
267,2,gmail,48,664,1091,427,false
268,1,zoom,48,668,681,13,false
269,2,gmail,48,668,1098,430,false
270,2,gmail,48,671,1105,434,false
271,1,zoom,48,675,688,13,false
272,2,gmail,48,675,1111,436,false
273,2,gmail,48,679,1114,435,false
274,1,zoom,48,682,698,16,false
275,2,gmail,48,682,1121,439,false
276,2,gmail,48,686,1128,442,false
277,1,zoom,48,690,705,15,false
278,2,gmail,48,690,1135,445,false
279,2,gmail,48,694,1141,447,false
280,1,zoom,48,698,711,13,false
281,2,gmail,48,698,1144,446,false
282,2,gmail,48,701,1151,450,false
283,1,zoom,48,705,718,13,false
284,2,gmail,48,705,1158,453,false
285,2,gmail,48,709,1165,456,false
286,1,zoom,48,712,728,16,false
287,2,gmail,48,712,1171,459,false
288,2,gmail,48,716,1174,458,false
289,1,zoom,48,720,735,15,false
290,2,gmail,48,720,1181,461,false
291,2,gmail,48,724,1188,464,false
292,1,zoom,48,728,741,13,false
293,2,gmail,48,728,1195,467,false
294,2,gmail,48,731,1201,470,false
295,1,zoom,48,735,748,13,false
296,2,gmail,48,735,1204,469,false
297,2,gmail,48,739,1211,472,false
298,1,zoom,48,742,758,16,false
299,2,gmail,48,742,1218,476,false
300,2,gmail,48,746,1225,479,false
301,1,zoom,48,750,765,15,false
302,2,gmail,48,750,1231,481,false
