primitive	count
CARRY8	2048
FDCE	85
FDRE	25627
GND	2
LUT1	6
LUT2	1404
LUT3	20126
LUT4	12185
LUT5	47733
LUT6	40172
MUXF7	2738
MUXF8	1279
VCC	1
