event,name,mode,from_policy,to_policy,instruction_count,scheduled_cycle,start_cycle,commit_cycle,finish_cycle,drain_cycle,drain_duration_cycles,dropped_packets,retained_packets,peak_buffer_occupancy_packets,minimum_stop_cycles,stop_duration_cycles,commit_applied_cycle,commit_cycles,bank_cleanup_cycles,install_finish_cycle,resume_cycle,cleanup_start_cycle,cleanup_commit_cycle,cleanup_applied_cycle,cleanup_finish_cycle,cleanup_instruction_count,cleanup_commit_cycles,cleanup_bank_cleanup_cycles,cleanup_of,prefilled_tokens
reconfiguration,request,stop_the_world_pop,,,201,2000,2001,2213,3484,3346,1133,0,273,424,0,,2521,520,129,2650,2521,2650,2743,3441,3484,92,791,43,,273
cleanup_commit,collapse,direct,,,92,2000,2650,2743,3528,,,0,0,0,0,,3441,791,43,3484,,3484,3513,3515,3528,28,31,13,request,
cleanup_commit,reclaim,direct,,,28,2000,3484,3513,3528,,,0,0,0,0,,3515,31,13,3528,,,,,,,,,collapse,
