primitive	count
CARRY8	32651
FDCE	49011
FDPE	5217
FDRE	322973
GND	137
LUT1	15469
LUT2	25393
LUT3	10358
LUT4	36474
LUT5	16438
LUT6	283423
MUXF7	7222
MUXF8	3446
RAM256X1D	20
RAM32M	5
RAM32M16	51
RAM32X1D	20
RAMB18E2	30
RAMB36E2	6
RAMD32	784
RAMD64E	160
RAMS32	112
VCC	107
