cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2000,driver_stop,1,1,69,76,1
2017,hardware_stop,1,1,70,77,7
2050,stop_snapshot,1,1,70,89,19
2345,prefill_started,7,1,70,197,127
2416,prefill_finished,7,1,70,223,153
2416,root_detached,1,1,70,223,153
2416,root_published,7,1,70,223,153
2416,drain_watch_armed,1,1,70,223,153
2416,driver_resume,1,1,70,223,153
2417,hardware_resume,1,1,70,223,152
2776,root_detached,7,1,235,241,0
2776,root_published,4,1,236,241,0
2847,clear_engine,7,0,235,243,1
