run,commit,name,start_cycle,commit_cycle,ready_for_next_commit,old_tree_drained_cycle,drain_label,commit_applied_cycle,instruction_count,commit_cycles,bank_replay_cycles
prefill,C1,request,2000,2311,2611,2632,old-tree-drained,2416,299,416,195
prefill,C2,collapse,2611,2755,2843,2632,old-tree-drained,2776,143,165,67
prefill,C3,reclaim,2843,2884,2905,2632,old-tree-drained,2886,40,43,19
