primitive	count
CARRY8	2048
FDCE	54
FDRE	27677
GND	2
LUT1	19
LUT2	1439
LUT3	22570
LUT4	10158
LUT5	44363
LUT6	45960
MUXF7	2883
MUXF8	1358
VCC	1
