cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
5000,driver_stop,1,1,337,343,3
5014,hardware_stop,1,1,337,341,4
5047,stop_snapshot,1,1,337,352,15
5082,prefill_started,4,1,337,361,24
5420,prefill_finished,4,1,337,452,115
5420,root_detached,1,1,337,452,115
5420,root_published,4,1,337,452,115
5420,drain_watch_armed,1,1,337,452,115
5420,driver_resume,1,1,337,452,115
5421,hardware_resume,1,1,337,452,114
6460,root_detached,4,1,380,386,0
6460,root_published,1,2,382,386,0
6475,clear_engine,4,0,381,385,0
