primitive	count
CARRY8	5
FDCE	5380
FDPE	35
FDRE	692
GND	56
LUT1	109
LUT2	1067
LUT3	377
LUT4	334
LUT5	1053
LUT6	4136
MUXF7	305
MUXF8	105
RAM128X1D	10
RAM32M	5
RAM32M16	49
RAM32X1D	20
RAM64M8	40
RAM64X1D	10
RAMB36E2	500
RAMD32	756
RAMD64E	380
RAMS32	108
VCC	69
