platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
vivado,32,static,registers,bits,113452,../runs/pe5-v32-c1024-q256-p128-static-kcu116/resource-summary.json,5502,21590,5,107950,../runs/pifo-v32-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,registers,bits,114872,../runs/pe5-v32-c1024-q256-p128-replay-kcu116/resource-summary.json,6922,21590,5,107950,../runs/pifo-v32-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,128,static,registers,bits,144774,../runs/pe5-v128-c1024-q256-p128-static-kcu116/resource-summary.json,16289,25697,5,128485,../runs/pifo-v128-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,registers,bits,150004,../runs/pe5-v128-c1024-q256-p128-replay-kcu116/resource-summary.json,21519,25697,5,128485,../runs/pifo-v128-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,512,static,registers,bits,222371,../runs/pe5-v512-c1024-q256-p128-static-kcu116/resource-summary.json,73351,29804,5,149020,../runs/pifo-v512-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,registers,bits,236271,../runs/pe5-v512-c1024-q256-p128-replay-kcu116/resource-summary.json,87251,29804,5,149020,../runs/pifo-v512-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,registers,bits,310397,../runs/pe5-v1024-c1024-q256-p128-static-kcu116/resource-summary.json,151092,31861,5,159305,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,registers,bits,338312,../runs/pe5-v1024-c1024-q256-p128-replay-kcu116/resource-summary.json,179007,31861,5,159305,../runs/pifo-v1024-c1024-kcu116/resource-summary.json,sum_of_synthesized_components
