platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind,static_utilization_percent,available,replay_utilization_percent,part,count_definition,capacity_source,pifo_source,utilization_change_percentage_points,static_source,replay_source
quartus,1024,logic_alms,ALMs,551794,654026,58380,5,291900,843694,945926,102232,12.117189407534012,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,173.17200328407225,487200,194.1555829228243,,,,,,,
quartus,1024,logic_aluts,ALUTs,746094,1170520,98361,5,491805,1237899,1662325,424426,34.285995868806744,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,1024,registers,bits,503501,821071,31810,5,159050,662551,980121,317570,47.93140452584027,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,1024,m20k_equivalents,M20K equivalents,18.29296875,27.29296875,0.0,5,0.0,18.29296875,27.29296875,9.0,49.19923126201153,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,0.2572850738396624,7110,0.3838673523206751,AGFB014R24B2E2V,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,0.12658227848101267,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
vivado,1024,logic_luts,LUTs,578413,809043,126266,5,631330,1209743,1440373,230630,19.064379789756998,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,557.588034660767,216960,663.8887352507375,,,,,,,
vivado,1024,registers,bits,574237,820107,31854,5,159270,733507,979377,245870,33.5197891771994,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,169.04198930678467,433920,225.70450774336283,,,,,,,
vivado,1024,bram36_tiles,BRAM36 equivalents,21.0,28.5,0.0,5,0.0,21.0,28.5,7.5,35.714285714285715,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,4.375,480,5.9375,xcku5p-ffvb676-2-e,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,1.5625,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
