run,commit,name,start_cycle,commit_cycle,ready_for_next_commit,old_tree_drained_cycle,drain_label,commit_applied_cycle,instruction_count,commit_cycles,bank_replay_cycles
pre-0/link,C1,replace,0,32,52,36,old-tree-drained,35,26,35,17
pre-0/link,C2,replace-cleanup,52,69,78,36,old-tree-drained,71,16,19,7
pre-0/reserved,C1,replace,0,48,112,92,old-tree-drained,83,39,83,29
pre-0/reserved,C2,replace-cleanup,112,132,146,92,old-tree-drained,136,20,24,10
pre-0/reserved,C3,replace-reclaim,146,158,167,92,old-tree-drained,160,11,14,7
pre-0/copy,C1,replace,0,66,155,115,old-tree-drained,106,58,106,49
pre-0/copy,C2,replace-cleanup,155,175,189,115,old-tree-drained,178,20,23,11
pre-0/copy,C3,replace-reclaim,189,200,210,115,old-tree-drained,204,11,15,6
pre-1000/link,C1,replace,1000,1034,1053,1231,old-tree-drained,1036,26,36,17
pre-1000/link,C2,replace-cleanup,1053,1069,1257,1231,old-tree-drained,1250,16,197,7
pre-1000/reserved,C1,replace,1000,1049,1182,1369,old-tree-drained,1153,39,153,29
pre-1000/reserved,C2,replace-cleanup,1182,1203,1403,1369,old-tree-drained,1392,20,210,11
pre-1000/reserved,C3,replace-reclaim,1403,1415,1424,1369,old-tree-drained,1417,11,14,7
pre-1000/copy,C1,replace,1000,1067,1363,1530,old-tree-drained,1314,58,314,49
pre-1000/copy,C2,replace-cleanup,1363,1383,1564,1530,old-tree-drained,1553,20,190,11
pre-1000/copy,C3,replace-reclaim,1564,1575,1585,1530,old-tree-drained,1578,11,14,7
pre-2500/link,C1,replace,2500,2534,2553,3031,old-tree-drained,2536,26,36,17
pre-2500/link,C2,replace-cleanup,2553,2569,3057,3031,old-tree-drained,3050,16,497,7
pre-2500/reserved,C1,replace,2500,2549,2782,3269,old-tree-drained,2753,39,253,29
pre-2500/reserved,C2,replace-cleanup,2782,2802,3303,3269,old-tree-drained,3292,20,510,11
pre-2500/reserved,C3,replace-reclaim,3303,3314,3324,3269,old-tree-drained,3317,11,14,7
pre-2500/copy,C1,replace,2500,2567,3163,3630,old-tree-drained,3114,58,614,49
pre-2500/copy,C2,replace-cleanup,3163,3183,3664,3630,old-tree-drained,3653,20,490,11
pre-2500/copy,C3,replace-reclaim,3664,3675,3685,3630,old-tree-drained,3678,11,14,7
pre-5000/link,C1,replace,5000,5032,5052,6031,old-tree-drained,5035,26,35,17
pre-5000/link,C2,replace-cleanup,5052,5068,6057,6031,old-tree-drained,6050,16,998,7
pre-5000/reserved,C1,replace,5000,5048,5449,6437,old-tree-drained,5420,39,420,29
pre-5000/reserved,C2,replace-cleanup,5449,5470,6471,6437,old-tree-drained,6460,20,1011,11
pre-5000/reserved,C3,replace-reclaim,6471,6482,6492,6437,old-tree-drained,6485,11,14,7
pre-5000/copy,C1,replace,5000,5068,6164,7132,old-tree-drained,6115,58,1115,49
pre-5000/copy,C2,replace-cleanup,6164,6185,7166,7132,old-tree-drained,7155,20,991,11
pre-5000/copy,C3,replace-reclaim,7166,7177,7187,7132,old-tree-drained,7180,11,14,7
