cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
1000,driver_stop,1,1,69,77,3
1014,hardware_stop,1,1,70,74,4
1047,stop_snapshot,1,1,70,85,15
1082,prefill_started,4,1,70,94,24
1153,prefill_finished,4,1,70,113,43
1153,root_detached,1,1,70,113,43
1153,root_published,4,1,70,113,43
1153,drain_watch_armed,1,1,70,113,43
1153,driver_resume,1,1,70,113,43
1154,hardware_resume,1,1,70,113,43
1392,root_detached,4,1,95,102,1
1392,root_published,1,2,97,102,1
1407,clear_engine,4,0,96,101,2
