platform,vflows,configuration,part,resource,required,available,stage
vivado,1024,static,xcku5p-ffvb676-2-e,RAMB18,104980,960,failed_synthesis_capacity_check
vivado,1024,dynamic,xcku5p-ffvb676-2-e,RAMB18,197155,960,failed_synthesis_capacity_check
