primitive	count
CARRY8	325
FDCE	9168
FDPE	1390
FDRE	5631
FDSE	100
GND	125
LUT1	2679
LUT2	1309
LUT3	1610
LUT4	5839
LUT5	2489
LUT6	13655
MUXF7	560
MUXF8	221
RAM128X1D	10
RAM32M	5
RAM32M16	16
RAM64M	20
RAM64M8	50
RAM64X1D	20
RAMB18E2	5
RAMB36E2	1
RAMD32	254
RAMD64E	560
RAMS32	42
SRL16E	12800
VCC	146
