platform,vflows,variant,baseline,resource,baseline_value,value,absolute_change,percent_change
quartus,32,dynamic,static,logic_alms,1385.0,3565.0,2180.0,157.40072202166064
quartus,64,dynamic,static,logic_alms,2077.0,6097.0,4020.0,193.5483870967742
quartus,128,dynamic,static,logic_alms,4068.0,9593.0,5525.0,135.81612586037366
quartus,256,dynamic,static,logic_alms,10528.0,66104.0,55576.0,527.887537993921
quartus,512,dynamic,static,logic_alms,87531.0,199435.0,111904.0,127.8449920599559
quartus,1024,dynamic,static,logic_alms,249166.0,526738.0,277572.0,111.40043184062031
quartus,32,dynamic,static,registers,1303.0,3080.0,1777.0,136.37759017651572
quartus,64,dynamic,static,registers,1401.0,4998.0,3597.0,256.745182012848
quartus,128,dynamic,static,registers,1499.0,8996.0,7497.0,500.133422281521
quartus,256,dynamic,static,registers,1597.0,61244.0,59647.0,3734.9405134627427
quartus,512,dynamic,static,registers,70950.0,127982.0,57032.0,80.38336856941508
quartus,1024,dynamic,static,registers,145293.0,268960.0,123667.0,85.11559400659357
quartus,32,dynamic,static,block_memory_bits,659532.0,1644972.0,985440.0,149.41503975546297
quartus,64,dynamic,static,block_memory_bits,2793512.0,7222952.0,4429440.0,158.56169581516028
quartus,128,dynamic,static,block_memory_bits,11813092.0,31487332.0,19674240.0,166.5460660087977
quartus,256,dynamic,static,block_memory_bits,49841312.0,136315552.0,86474240.0,173.4991245816322
quartus,512,dynamic,static,block_memory_bits,209715932.0,587203292.0,377487360.0,179.99937172155333
quartus,1024,dynamic,static,block_memory_bits,880804632.0,2516583192.0,1635778560.0,185.7141187241168
vivado,32,dynamic,static,logic_luts,3309.0,3853.0,544.0,16.44001208824418
vivado,64,dynamic,static,logic_luts,3684.0,5991.0,2307.0,62.62214983713355
vivado,128,dynamic,static,logic_luts,7362.0,14035.0,6673.0,90.6411301276827
vivado,256,dynamic,static,logic_luts,26859.0,37402.0,10543.0,39.2531367511821
vivado,512,dynamic,static,logic_luts,64537.0,86161.0,21624.0,33.506360692316036
vivado,1024,dynamic,static,logic_luts,219107.0,345710.0,126603.0,57.78135796665556
vivado,32,dynamic,static,registers,2036.0,2355.0,319.0,15.667976424361493
vivado,64,dynamic,static,registers,2886.0,4216.0,1330.0,46.08454608454608
vivado,128,dynamic,static,registers,6107.0,8707.0,2600.0,42.574095300474866
vivado,256,dynamic,static,registers,17826.0,18221.0,395.0,2.2158644676315493
vivado,512,dynamic,static,registers,37735.0,35875.0,-1860.0,-4.929110904995363
vivado,1024,dynamic,static,registers,84909.0,76037.0,-8872.0,-10.448833456995136
vivado,32,dynamic,static,bram36_tiles,30.0,60.0,30.0,100.0
vivado,64,dynamic,static,bram36_tiles,120.0,240.0,120.0,100.0
vivado,128,dynamic,static,bram36_tiles,500.0,1040.0,540.0,108.0
vivado,256,dynamic,static,bram36_tiles,2082.5,4482.5,2400.0,115.24609843937576
vivado,512,dynamic,static,bram36_tiles,8647.5,19215.0,10567.5,122.20294882914138
vivado,1024,dynamic,static,bram36_tiles,35850.0,81937.5,46087.5,128.55648535564853
