primitive	count
CARRY8	10245
FDCE	2237
FDPE	87
FDRE	108016
GND	119
LUT1	153
LUT2	13326
LUT3	56006
LUT4	63436
LUT5	241589
LUT6	188838
MUXF7	12375
MUXF8	5770
RAM32M	20
RAM32M16	59
RAM32X1D	20
RAMB36E2	60
RAMD32	986
RAMS32	158
VCC	85
