platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
quartus,64,replay,logic_aluts,ALUTs,363877,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json,7202,71335,5,356675,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,registers,bits,120069,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json,2059,23602,5,118010,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,registers,bits,123388,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json,5378,23602,5,118010,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,block_memory_bits,bits,2801072,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json,2801072,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,block_memory_bits,bits,4277552,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json,4277552,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,mlab_memory_bits,bits,0,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,mlab_memory_bits,bits,0,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,dsp_blocks,blocks,0,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,dsp_blocks,blocks,0,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,64,static,logic_luts,LUTs,521379,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,5074,103261,5,516305,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,logic_luts,LUTs,523185,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json,6880,103261,5,516305,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,registers,bits,121723,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,3443,23656,5,118280,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,registers,bits,122793,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json,4513,23656,5,118280,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,bram36_tiles,tiles,121.0,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,121.0,0.0,5,0.0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,bram36_tiles,tiles,161.0,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json,161.0,0.0,5,0.0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,uram288_blocks,blocks,0,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,uram288_blocks,blocks,0,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,bram_uram_allocated_bits,bits,4460544,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,4460544,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,bram_uram_allocated_bits,bits,5935104,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json,5935104,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,lutram_luts,LUTs,588,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,588,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,lutram_luts,LUTs,628,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json,628,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,dsp_blocks,blocks,0,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,dsp_blocks,blocks,0,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,128,static,logic_alms,ALMs,271846,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,5861,53197,5,265985,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,logic_alms,ALMs,276840,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,10855,53197,5,265985,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,logic_aluts,ALUTs,380573,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,6748,74765,5,373825,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,logic_aluts,ALUTs,388408,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,14583,74765,5,373825,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,registers,bits,131067,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,2797,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,registers,bits,138242,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,9972,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,block_memory_bits,bits,11821408,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,11821408,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,block_memory_bits,bits,18379488,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,18379488,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,mlab_memory_bits,bits,0,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,mlab_memory_bits,bits,0,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,128,static,logic_luts,LUTs,551008,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,9318,108338,5,541690,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,logic_luts,LUTs,556065,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,14375,108338,5,541690,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,registers,bits,135609,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,7049,25712,5,128560,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,registers,bits,137619,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,9059,25712,5,128560,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,bram36_tiles,tiles,501.0,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,501.0,0.0,5,0.0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,bram36_tiles,tiles,681.0,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,681.0,0.0,5,0.0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,uram288_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,uram288_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,bram_uram_allocated_bits,bits,18468864,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,18468864,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,bram_uram_allocated_bits,bits,25104384,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,25104384,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,lutram_luts,LUTs,808,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,808,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,lutram_luts,LUTs,888,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,888,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
