platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind
quartus,256,logic_alms,ALMs,15260,33179,55548,5,277740,293000,310919,17919,6.115699658703072,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,256,logic_aluts,ALUTs,17186,36322,86622,5,433110,450296,469432,19136,4.24964911969016,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,256,registers,bits,4175,19680,27706,5,138530,142705,158210,15505,10.865071300935496,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,256,block_memory_bits,bits,49850384,78696464,0,5,0,49850384,78696464,28846080,57.86531152899444,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,256,mlab_memory_bits,bits,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,256,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,256,logic_luts,LUTs,30296,32326,116236,5,581180,611476,613506,2030,0.3319835937959953,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,256,registers,bits,18700,18845,27749,5,138745,157445,157590,145,0.09209565245006193,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,256,bram36_tiles,tiles,2083.5,2883.5,0.0,5,0.0,2083.5,2883.5,800.0,38.39692824574034,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,256,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,256,bram_uram_allocated_bits,bits,76806144,106297344,0,5,0,76806144,106297344,29491200,38.39692824574034,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,256,lutram_luts,LUTs,908,1108,0,5,0,908,1108,200,22.026431718061673,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,256,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,512,logic_alms,ALMs,103640,142666,56515,5,282575,386215,425241,39026,10.104734409590513,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
