platform,vflows,configuration,resource,unit,value,source
quartus,128,replay,registers,bits,9972,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,128,static,block_memory_bits,bits,11821408,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,block_memory_bits,bits,18379488,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,128,static,mlab_memory_bits,bits,0,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,mlab_memory_bits,bits,0,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,128,static,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,128,replay,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
vivado,128,static,logic_luts,LUTs,9318,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,128,replay,logic_luts,LUTs,14375,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
vivado,128,static,registers,bits,7049,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,128,replay,registers,bits,9059,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
vivado,128,static,bram36_tiles,tiles,501.0,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,128,replay,bram36_tiles,tiles,681.0,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
vivado,128,static,uram288_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,128,replay,uram288_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,bits,18468864,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,bits,25104384,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
vivado,128,static,lutram_luts,LUTs,808,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,128,replay,lutram_luts,LUTs,888,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
vivado,128,static,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,128,replay,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
quartus,256,static,logic_alms,ALMs,15260,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json
quartus,256,replay,logic_alms,ALMs,33179,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
quartus,256,static,logic_aluts,ALUTs,17186,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json
quartus,256,replay,logic_aluts,ALUTs,36322,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
quartus,256,static,registers,bits,4175,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json
quartus,256,replay,registers,bits,19680,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
quartus,256,static,block_memory_bits,bits,49850384,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json
quartus,256,replay,block_memory_bits,bits,78696464,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
quartus,256,static,mlab_memory_bits,bits,0,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json
quartus,256,replay,mlab_memory_bits,bits,0,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
quartus,256,static,dsp_blocks,blocks,0,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json
quartus,256,replay,dsp_blocks,blocks,0,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
vivado,256,static,logic_luts,LUTs,30296,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json
vivado,256,replay,logic_luts,LUTs,32326,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
vivado,256,static,registers,bits,18700,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json
vivado,256,replay,registers,bits,18845,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
vivado,256,static,bram36_tiles,tiles,2083.5,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json
vivado,256,replay,bram36_tiles,tiles,2883.5,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
vivado,256,static,uram288_blocks,blocks,0,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json
vivado,256,replay,uram288_blocks,blocks,0,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
vivado,256,static,bram_uram_allocated_bits,bits,76806144,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json
vivado,256,replay,bram_uram_allocated_bits,bits,106297344,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
vivado,256,static,lutram_luts,LUTs,908,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json
vivado,256,replay,lutram_luts,LUTs,1108,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
vivado,256,static,dsp_blocks,blocks,0,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json
vivado,256,replay,dsp_blocks,blocks,0,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
quartus,512,static,logic_alms,ALMs,103640,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,logic_alms,ALMs,142666,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,512,static,logic_aluts,ALUTs,92767,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,logic_aluts,ALUTs,154986,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,512,static,registers,bits,86111,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,registers,bits,142631,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,512,static,block_memory_bits,bits,209715776,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,block_memory_bits,bits,335544896,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,512,static,mlab_memory_bits,bits,0,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,mlab_memory_bits,bits,0,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,512,static,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,512,replay,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
vivado,512,static,logic_luts,LUTs,74870,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,logic_luts,LUTs,84864,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,registers,bits,39206,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,registers,bits,39381,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,bram36_tiles,tiles,8648.5,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,bram36_tiles,tiles,12171.0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,bram_uram_allocated_bits,bits,318818304,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,bram_uram_allocated_bits,bits,448671744,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,lutram_luts,LUTs,628,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,lutram_luts,LUTs,628,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,512,static,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,512,replay,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
quartus,1024,static,logic_alms,ALMs,301224,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,logic_alms,ALMs,408590,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,logic_aluts,ALUTs,276168,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,logic_aluts,ALUTs,460451,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,registers,bits,166345,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,registers,bits,289435,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,block_memory_bits,bits,880804464,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,block_memory_bits,bits,1426063984,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,mlab_memory_bits,bits,0,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,mlab_memory_bits,bits,0,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,static,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,1024,replay,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
vivado,1024,static,logic_luts,LUTs,263973,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,logic_luts,LUTs,292886,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,registers,bits,83592,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,registers,bits,83987,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,tiles,35851.0,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,tiles,51213.5,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,bits,1321611264,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,bits,1887934464,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,lutram_luts,LUTs,788,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,lutram_luts,LUTs,788,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,static,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,1024,replay,dsp_blocks,blocks,0,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
