primitive	count
CARRY8	9
FDCE	72158
FDPE	44
FDRE	1613
GND	109
LUT1	139
LUT2	32180
LUT3	16356
LUT4	66855
LUT5	12325
LUT6	220076
MUXF7	22260
MUXF8	10970
RAM256X1D	40
RAM32M	11
RAM32M16	55
RAM32X1D	10
RAMB18E2	15
RAMB36E2	51223
RAMD32	856
RAMD64E	320
RAMS32	132
VCC	78
