platform,vflows,configuration,resource,value,source
quartus,32,static,block_memory_bits,659532,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,dynamic,block_memory_bits,1644972,runs/rio-only-pe5-v32-c1024-dynamic-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,1397612,runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,1105920,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,dynamic,bram_uram_allocated_bits,2211840,runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,1898496,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
quartus,128,static,block_memory_bits,11813092,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,dynamic,block_memory_bits,31487332,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,128,replay,block_memory_bits,18879076,runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,18432000,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,dynamic,bram_uram_allocated_bits,38338560,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,25583616,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
quartus,1024,static,block_memory_bits,880804632,runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,dynamic,block_memory_bits,2516583192,runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,1321574400,runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,dynamic,bram_uram_allocated_bits,3020544000,runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,1888561152,runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
