cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
1000,driver_stop,1,1,69,77,3
1014,hardware_stop,1,1,70,74,4
1047,stop_snapshot,1,1,70,85,15
1047,copy_source,3,2,70,85,15
1119,copy_source,1,1,70,102,32
1243,prefill_started,1,1,70,137,67
1314,prefill_finished,1,1,70,154,84
1314,root_detached,1,1,70,154,84
1314,root_published,1,1,70,154,84
1314,drain_watch_armed,2,1,70,154,84
1314,driver_resume,1,1,70,154,84
1315,hardware_resume,1,1,70,157,86
1553,root_detached,1,1,139,143,0
1553,root_published,2,2,141,143,0
1568,clear_engine,1,0,138,142,0
