cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2000,driver_stop,1,1,137,143,3
2014,hardware_stop,1,1,137,141,4
2047,stop_snapshot,1,1,137,152,15
2082,prefill_started,4,1,137,161,24
2220,prefill_finished,4,1,137,197,60
2220,root_detached,1,1,137,197,60
2220,root_published,4,1,137,197,60
2220,drain_watch_armed,1,1,137,197,60
2220,driver_resume,1,1,137,197,60
2221,hardware_resume,1,1,137,197,60
2660,root_detached,4,1,167,174,3
2660,root_published,1,2,169,174,3
2675,clear_engine,4,0,166,173,3
