platform,vflows,resource,one_pifo,pifo_count,pifo_total,source
quartus,32,logic_alms,50064,5,250320,../runs/pifo-house-v32-c1024-quartus/resource-summary.json
quartus,32,logic_aluts,61965,5,309825,../runs/pifo-house-v32-c1024-quartus/resource-summary.json
quartus,32,registers,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json
quartus,32,block_memory_bits,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json
quartus,32,mlab_memory_bits,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json
quartus,32,dsp_blocks,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json
vivado,32,logic_luts,96714,5,483570,../runs/pifo-house-v32-c1024-vivado/resource-summary.json
vivado,32,registers,21617,5,108085,../runs/pifo-house-v32-c1024-vivado/resource-summary.json
vivado,32,bram36_tiles,0.0,5,0.0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json
vivado,32,uram288_blocks,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json
vivado,32,bram_uram_allocated_bits,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json
vivado,32,lutram_luts,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json
vivado,32,dsp_blocks,0,5,0,../runs/pifo-house-v32-c1024-vivado/resource-summary.json
quartus,64,logic_alms,50341,5,251705,../runs/pifo-house-v64-c1024-quartus/resource-summary.json
quartus,64,logic_aluts,71335,5,356675,../runs/pifo-house-v64-c1024-quartus/resource-summary.json
quartus,64,registers,23602,5,118010,../runs/pifo-house-v64-c1024-quartus/resource-summary.json
quartus,64,block_memory_bits,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json
quartus,64,mlab_memory_bits,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json
quartus,64,dsp_blocks,0,5,0,../runs/pifo-house-v64-c1024-quartus/resource-summary.json
vivado,64,logic_luts,103261,5,516305,../runs/pifo-house-v64-c1024-vivado/resource-summary.json
vivado,64,registers,23656,5,118280,../runs/pifo-house-v64-c1024-vivado/resource-summary.json
vivado,64,bram36_tiles,0.0,5,0.0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json
vivado,64,uram288_blocks,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json
vivado,64,bram_uram_allocated_bits,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json
vivado,64,lutram_luts,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json
vivado,64,dsp_blocks,0,5,0,../runs/pifo-house-v64-c1024-vivado/resource-summary.json
quartus,128,logic_alms,53197,5,265985,../runs/pifo-house-v128-c1024-quartus/resource-summary.json
quartus,128,logic_aluts,74765,5,373825,../runs/pifo-house-v128-c1024-quartus/resource-summary.json
quartus,128,registers,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json
quartus,128,block_memory_bits,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json
quartus,128,mlab_memory_bits,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json
quartus,128,dsp_blocks,0,5,0,../runs/pifo-house-v128-c1024-quartus/resource-summary.json
vivado,128,logic_luts,108338,5,541690,../runs/pifo-house-v128-c1024-vivado/resource-summary.json
vivado,128,registers,25712,5,128560,../runs/pifo-house-v128-c1024-vivado/resource-summary.json
vivado,128,bram36_tiles,0.0,5,0.0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json
vivado,128,uram288_blocks,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json
vivado,128,bram_uram_allocated_bits,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json
vivado,128,lutram_luts,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json
vivado,128,dsp_blocks,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json
quartus,256,logic_alms,55548,5,277740,../runs/pifo-house-v256-c1024-quartus/resource-summary.json
