primitive	count
CARRY8	9
FDCE	15713
FDPE	64
FDRE	571
GND	114
LUT1	125
LUT2	1795
LUT3	1763
LUT4	5155
LUT5	5982
LUT6	19338
MUXF7	1890
MUXF8	735
RAM256X1D	10
RAM32M	5
RAM32M16	50
RAM32X1D	21
RAM64M8	60
RAM64X1D	60
RAMB18E2	6
RAMB36E2	2895
RAMD32	772
RAMD64E	680
RAMS32	110
VCC	88
