cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2000,driver_stop,1,1,137,143,3
2014,hardware_stop,1,1,137,141,4
2047,stop_snapshot,1,1,137,152,15
2047,copy_source,3,2,137,152,15
2186,copy_source,1,1,137,188,51
2377,prefill_started,1,1,137,240,103
2515,prefill_finished,1,1,137,276,139
2515,root_detached,1,1,137,276,139
2515,root_published,1,1,137,276,139
2515,drain_watch_armed,2,1,137,276,139
2515,driver_resume,1,1,137,276,139
2516,hardware_resume,1,1,137,276,138
2955,root_detached,1,1,246,251,0
2955,root_published,2,2,248,251,0
2970,clear_engine,1,0,246,250,0
