primitive	count
CARRY8	9
FDCE	7388
FDPE	44
FDRE	405
GND	60
LUT1	120
LUT2	281
LUT3	992
LUT4	1136
LUT5	3083
LUT6	7917
MUXF7	1285
MUXF8	560
RAM128X1D	10
RAM32M	5
RAM32M16	49
RAM32X1D	20
RAM64M8	50
RAM64X1D	10
RAMB36E2	694
RAMD32	756
RAMD64E	460
RAMS32	108
VCC	73
