primitive	count
CARRY8	20
FDCE	74060
FDPE	77
FDRE	1900
GND	116
LUT1	113
LUT2	45786
LUT3	20530
LUT4	68943
LUT5	19241
LUT6	223709
MUXF7	24840
MUXF8	12180
RAM256X1D	40
RAM32M	11
RAM32M16	55
RAM32X1D	10
RAMB18E2	25
RAMB36E2	81925
RAMD32	856
RAMD64E	320
RAMS32	132
VCC	85
