window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction
-478,34,-464,0,0,0,0,0,0
-462,50,-448,0.0207027730409,0.000323480828764,0.0169937036995,0.00370906934145,0.000265526620304,5.79542084602e-05
-446,66,-432,0.123810978622,0.00193454654097,0.0827981452002,0.0410128334219,0.00129372101875,0.000640825522218
-430,82,-416,0.370868525754,0.00579482071491,0.227635507934,0.14323301782,0.00355680481147,0.00223801590344
-414,98,-400,0.81673837251,0.0127615370705,0.47783971167,0.33889866084,0.00746624549484,0.00529529157563
-398,114,-384,1.50198685758,0.0234685446496,0.855381251987,0.64660560559,0.0133653320623,0.0101032125873
-382,130,-368,2.46532630414,0.0385207235022,1.37838882311,1.08693748103,0.0215373253611,0.0169833981411
-366,146,-352,3.73414781988,0.0583460596857,2.05848757004,1.67566024984,0.0321638682819,0.0261821914038
-350,162,-336,5.32473130105,0.0831989265789,2.90191225975,2.4228190413,0.0453423790586,0.0378565475203
-334,178,-320,7.24116776561,0.113143246338,3.90888486813,3.33228289749,0.0610763260645,0.0520669202732
-318,194,-304,9.47407875215,0.148032480502,5.07331108257,4.40076766958,0.0792704856651,0.0687619948372
-302,210,-288,12.0025478281,0.187539809815,6.38302344581,5.61952438232,0.0997347413408,0.0878050684738
-286,226,-272,14.7945536833,0.231164901302,7.820258797,6.97429488635,0.122191543703,0.108973357599
-270,242,-256,17.8072369752,0.278238077738,9.36166997828,8.44556699694,0.146276093411,0.131961984327
-254,258,-240,20.9892260722,0.327956657378,10.9798907794,10.0093352928,0.171560793428,0.156395863949
-238,274,-224,24.2832911952,0.379426424924,12.6452559354,11.6380352597,0.197582123991,0.181844300933
-222,290,-208,27.6272051396,0.431675080307,14.3262720105,13.3009331291,0.223848000165,0.207827080142
-206,306,-192,30.9568162199,0.483700253435,15.990840426,14.9659757939,0.249856881656,0.233843371779
-190,322,-176,34.2091954602,0.534518679066,17.6075038357,16.6016916245,0.275117247434,0.259401431632
-174,338,-160,37.3240958433,0.583188997552,19.1463648017,18.1777310416,0.299161950027,0.284027047525
-158,354,-144,40.2459027579,0.628842230592,20.5798573435,19.6660454144,0.321560270992,0.3072819596
-142,370,-128,42.9273492753,0.670739832426,21.8853720839,21.0419771914,0.341958938811,0.328780893615
-126,386,-112,45.3302169123,0.708284639255,23.0453006697,22.2849162426,0.360082822965,0.34820181629
-110,402,-96,47.4263604857,0.741036882589,24.0476473758,23.3787131099,0.375744490246,0.365292392343
-94,418,-80,49.2003636314,0.76875568174,24.8864999228,24.3138637086,0.388851561293,0.379904120447
-78,434,-64,50.649238005,0.791394343828,25.5621898527,25.0870481523,0.399409216448,0.391985127379
-62,450,-48,51.781643015,0.809088172109,26.0804519001,25.7011911148,0.407507060939,0.401581111169
-46,466,-32,52.6191214394,0.822173772491,26.4537644124,26.165357027,0.413340068944,0.408833703547
-30,482,-16,53.1948187199,0.831169042498,26.7004860626,26.4943326573,0.417195094728,0.41397394777
-14,498,0,53.5510814545,0.836735647727,26.8438526469,26.7072288076,0.419435197608,0.417300450119
2,514,16,53.7393933795,0.839678021554,26.9110886875,26.828304692,0.420485760742,0.419192260812
18,530,32,53.8180152988,0.840906489044,26.9323651502,26.8856501486,0.420818205472,0.420088283572
34,546,48,53.8487688906,0.841387013916,26.9389618763,26.9098070143,0.420921279317,0.420465734599
50,562,64,53.8711528208,0.841736762826,26.9440791413,26.9270736796,0.421001236583,0.420735526243
66,578,80,53.8868718548,0.841982372732,26.9733839795,26.9134878753,0.42145912468,0.420523248052
82,594,96,53.8946531071,0.842103954799,27.0578371367,26.8368159704,0.422778705261,0.419325249538
98,610,112,53.8945852501,0.842102894533,27.2272633823,26.6673218678,0.425425990348,0.416676904185
114,626,128,53.8947288482,0.842105138253,27.5088801785,26.3858486698,0.429826252789,0.412278885465
130,642,144,53.8948564942,0.842107132722,27.9242861656,25.9705703286,0.436316971337,0.405790161385
146,658,160,53.8946651074,0.842104142302,28.4899112247,25.4047538826,0.445154862886,0.396949279416
162,674,176,53.894760808,0.842105637625,29.2172880901,24.6774727179,0.456520126408,0.385585511217
