primitive	count
CARRY8	131
FDCE	3341
FDPE	432
FDRE	3074
FDSE	75
GND	127
LUT1	1062
LUT2	547
LUT3	1224
LUT4	1284
LUT5	2038
LUT6	7121
MUXF7	53
MUXF8	10
RAM32M	10
RAM32M16	26
RAM32X1D	10
RAM64M8	15
RAM64X1D	15
RAMB36E2	1
RAMD32	444
RAMD64E	150
RAMS32	72
SRL16E	3840
VCC	132
