primitive	count
CARRY8	5
FDCE	1718
FDPE	355
FDRE	234
GND	61
LUT1	110
LUT2	282
LUT3	382
LUT4	187
LUT5	701
LUT6	2108
MUXF7	55
MUXF8	14
RAM32M	5
RAM32M16	56
RAM32X1D	20
RAMB36E2	31
RAMD32	854
RAMS32	122
VCC	71
