figure,request,tenants,flows,run,main_install_instructions,guarded_instructions,cycles_to_publication,cycles_to_main_ready,cycles_to_completion,request_start_cycle,configuration_finish_cycle,main_bank_replay_cycles,total_bank_replay_cycles,main_mapper_write_instructions,guard_drain_instructions,global_stop_cycles,hardware_stop_cycles,peak_stop_buffer_packets,pre_t1_backlog_packets,pre_t1_waiting_at_input,pre_t1_utilization,measured_pre_t1_offered_load,measured_post_t1_offered_load,untouched_flow,peak_added_delay_cycles,completed_packets,drops,reorderings,trace_sha256,peak_stop_buffer_packets_from_csv
reweight,reweight,2,4,rio,2,0,13,14,14,2000,2014,1,1,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,3,3668,0,0,9da43519703d2a13adc9afb7a871d63b60ebb7ba75f49a6c37942b5bf1572ded,0
reweight,reweight,2,4,prefill,73,51,191,238,488,2000,2488,47,68,45,7,191,174,141,75,1,0.9885,1.101,1.10025,Tenant_02_A,432,3668,0,0,9da43519703d2a13adc9afb7a871d63b60ebb7ba75f49a6c37942b5bf1572ded,141
reweight,reweight,2,4,reset,44,1,66,91,1046,2000,3046,25,25,24,0,1042,0,453,75,1,0.9885,1.101,1.10025,Tenant_02_A,1986,3668,0,0,9da43519703d2a13adc9afb7a871d63b60ebb7ba75f49a6c37942b5bf1572ded,453
reweight,reweight,2,4,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,9da43519703d2a13adc9afb7a871d63b60ebb7ba75f49a6c37942b5bf1572ded,0
reweight,reweight,4,8,rio,2,0,13,14,14,2000,2014,1,1,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,5ee4441d3af5f232ee4af7890767d47b50b4ebe753e19e8fb86bb431c3b050f4,0
reweight,reweight,4,8,prefill,139,93,257,348,613,2000,2613,91,133,89,13,257,240,165,75,1,0.9885,1.101,1.10025,Tenant_02_A,357,3668,0,0,5ee4441d3af5f232ee4af7890767d47b50b4ebe753e19e8fb86bb431c3b050f4,165
reweight,reweight,4,8,reset,86,1,108,157,1046,2000,3046,49,49,48,0,1042,0,453,75,1,0.9885,1.101,1.10025,Tenant_02_A,1413,3668,0,0,5ee4441d3af5f232ee4af7890767d47b50b4ebe753e19e8fb86bb431c3b050f4,453
reweight,reweight,4,8,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,5ee4441d3af5f232ee4af7890767d47b50b4ebe753e19e8fb86bb431c3b050f4,0
reweight,reweight,8,16,rio,2,0,13,14,14,2000,2014,1,1,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,6,3668,0,0,9fda8756996d25726469d906af82b9b468c75d16c79cfbd5f3a818ea4c7439ad,0
reweight,reweight,8,16,prefill,273,177,390,569,869,2000,2869,179,261,177,25,390,374,214,75,1,0.9885,1.101,1.10025,Tenant_02_A,460,3668,0,0,9fda8756996d25726469d906af82b9b468c75d16c79cfbd5f3a818ea4c7439ad,214
reweight,reweight,8,16,reset,172,1,193,290,1046,2000,3046,97,98,96,0,1041,0,452,75,1,0.9885,1.101,1.10025,Tenant_02_A,1188,3668,0,0,9fda8756996d25726469d906af82b9b468c75d16c79cfbd5f3a818ea4c7439ad,452
reweight,reweight,8,16,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,9fda8756996d25726469d906af82b9b468c75d16c79cfbd5f3a818ea4c7439ad,0
