event,name,mode,from_policy,to_policy,instruction_count,scheduled_cycle,start_cycle,commit_cycle,finish_cycle,drain_cycle,drain_duration_cycles,dropped_packets,retained_packets,peak_buffer_occupancy_packets,minimum_stop_cycles,stop_duration_cycles,commit_applied_cycle,commit_cycles,bank_cleanup_cycles,install_finish_cycle,resume_cycle,cleanup_start_cycle,cleanup_commit_cycle,cleanup_applied_cycle,cleanup_finish_cycle,cleanup_instruction_count,cleanup_commit_cycles,cleanup_bank_cleanup_cycles,cleanup_of
reconfiguration,r3-whole-tree-replace,full_transitive,p1,p2b,17,2000,2000,2027,2452,2431,404,0,0,0,0,,2030,30,11,2041,,2041,2054,2447,2452,12,406,5,
cleanup_commit,r3-whole-tree-replace-cleanup,direct,,,12,2000,2041,2054,2452,,,0,0,0,0,,2447,406,5,2452,,,,,,,,,r3-whole-tree-replace
