cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2080,accepted,UpdateRankGroup,1,1,13,7,
2080,dispatched,UpdateRankQuantum,1,1,7,120,
2081,accepted,UpdateBrainEngine,3,13,0,3,
2081,dispatched,UpdateBrainEngine,2,7,0,2,
2082,accepted,UpdateBrainFlowState,2,7,269,1,
2082,dispatched,UpdateRankGroup,1,1,13,7,
2083,accepted,UpdateRankGroup,1,1,14,7,
2083,dispatched,UpdateBrainEngine,3,13,0,3,
2084,accepted,UpdateBrainEngine,3,14,0,3,
2084,dispatched,UpdateBrainFlowState,2,7,269,1,
2085,accepted,UpdateBrainFlowState,2,7,270,2,
2085,dispatched,UpdateRankGroup,1,1,14,7,
2086,accepted,UpdateRankQuantum,1,1,8,120,
2086,dispatched,UpdateBrainEngine,3,14,0,3,
2087,accepted,UpdateBrainEngine,2,8,0,4,
2087,dispatched,UpdateBrainFlowState,2,7,270,2,
2088,accepted,UpdateRankGroup,1,1,15,8,
2088,dispatched,UpdateRankQuantum,1,1,8,120,
2089,accepted,UpdateBrainEngine,3,15,0,3,
2089,dispatched,UpdateBrainEngine,2,8,0,4,
2090,accepted,UpdateRankGroup,2,8,15,15,
2090,dispatched,UpdateRankGroup,1,1,15,8,
2091,accepted,UpdateRankQuantum,2,8,15,120,
2091,dispatched,UpdateBrainEngine,3,15,0,3,
2092,accepted,UpdateRankGroup,1,1,16,8,
2092,dispatched,UpdateRankGroup,2,8,15,15,
2093,accepted,UpdateBrainEngine,3,16,0,3,
2093,dispatched,UpdateRankQuantum,2,8,15,120,
2094,accepted,UpdateRankGroup,2,8,16,16,
2094,dispatched,UpdateRankGroup,1,1,16,8,
2095,accepted,UpdateRankQuantum,2,8,16,120,
2095,dispatched,UpdateBrainEngine,3,16,0,3,
2096,accepted,UpdateRankQuantum,1,1,9,120,
2096,dispatched,UpdateRankGroup,2,8,16,16,
2097,accepted,UpdateBrainEngine,2,9,0,4,
2097,dispatched,UpdateRankQuantum,2,8,16,120,
2098,accepted,UpdateRankGroup,1,1,17,9,
2098,dispatched,UpdateRankQuantum,1,1,9,120,
2099,accepted,UpdateBrainEngine,3,17,0,3,
2099,dispatched,UpdateBrainEngine,2,9,0,4,
2100,accepted,UpdateRankGroup,2,9,17,17,
2100,dispatched,UpdateRankGroup,1,1,17,9,
2101,accepted,UpdateRankQuantum,2,9,17,120,
2101,dispatched,UpdateBrainEngine,3,17,0,3,
2102,accepted,UpdateRankGroup,1,1,18,9,
2102,dispatched,UpdateRankGroup,2,9,17,17,
2103,accepted,UpdateBrainEngine,3,18,0,3,
2103,dispatched,UpdateRankQuantum,2,9,17,120,
2104,accepted,UpdateRankGroup,2,9,18,18,
2104,dispatched,UpdateRankGroup,1,1,18,9,
2105,accepted,UpdateRankQuantum,2,9,18,60,
2105,dispatched,UpdateBrainEngine,3,18,0,3,
2106,accepted,UpdateRankQuantum,1,1,10,120,
2106,dispatched,UpdateRankGroup,2,9,18,18,
2107,accepted,UpdateBrainEngine,2,10,0,2,
2107,dispatched,UpdateRankQuantum,2,9,18,60,
2108,accepted,UpdateRankGroup,1,1,19,10,
2108,dispatched,UpdateRankQuantum,1,1,10,120,
2109,accepted,UpdateBrainEngine,3,19,0,3,
2109,dispatched,UpdateBrainEngine,2,10,0,2,
2110,accepted,UpdateBrainFlowState,2,10,275,1,
2110,dispatched,UpdateRankGroup,1,1,19,10,
2111,accepted,UpdateRankGroup,1,1,20,10,
2111,dispatched,UpdateBrainEngine,3,19,0,3,
2112,accepted,UpdateBrainEngine,3,20,0,3,
2112,dispatched,UpdateBrainFlowState,2,10,275,1,
2113,accepted,UpdateBrainFlowState,2,10,276,2,
2113,dispatched,UpdateRankGroup,1,1,20,10,
2114,accepted,UpdateRankQuantum,1,1,11,120,
2114,dispatched,UpdateBrainEngine,3,20,0,3,
2115,accepted,UpdateBrainEngine,2,11,0,4,
2115,dispatched,UpdateBrainFlowState,2,10,276,2,
2116,accepted,UpdateRankGroup,1,1,21,11,
2116,dispatched,UpdateRankQuantum,1,1,11,120,
2117,accepted,UpdateBrainEngine,3,21,0,3,
2117,dispatched,UpdateBrainEngine,2,11,0,4,
2118,accepted,UpdateRankGroup,2,11,21,21,
2118,dispatched,UpdateRankGroup,1,1,21,11,
2119,accepted,UpdateRankQuantum,2,11,21,120,
2119,dispatched,UpdateBrainEngine,3,21,0,3,
2120,accepted,UpdateRankGroup,1,1,22,11,
2120,dispatched,UpdateRankGroup,2,11,21,21,
2121,accepted,UpdateBrainEngine,3,22,0,3,
2121,dispatched,UpdateRankQuantum,2,11,21,120,
2122,accepted,UpdateRankGroup,2,11,22,22,
2122,dispatched,UpdateRankGroup,1,1,22,11,
2123,accepted,UpdateRankQuantum,2,11,22,120,
2123,dispatched,UpdateBrainEngine,3,22,0,3,
2124,accepted,UpdateRankQuantum,1,1,12,120,
2124,dispatched,UpdateRankGroup,2,11,22,22,
2125,accepted,UpdateBrainEngine,2,12,0,4,
2125,dispatched,UpdateRankQuantum,2,11,22,120,
2126,accepted,UpdateRankGroup,1,1,23,12,
2126,dispatched,UpdateRankQuantum,1,1,12,120,
2127,accepted,UpdateBrainEngine,3,23,0,3,
2127,dispatched,UpdateBrainEngine,2,12,0,4,
2128,accepted,UpdateRankGroup,2,12,23,23,
2128,dispatched,UpdateRankGroup,1,1,23,12,
2129,accepted,UpdateRankQuantum,2,12,23,120,
2129,dispatched,UpdateBrainEngine,3,23,0,3,
2130,accepted,UpdateRankGroup,1,1,24,12,
2130,dispatched,UpdateRankGroup,2,12,23,23,
2131,accepted,UpdateBrainEngine,3,24,0,3,
2131,dispatched,UpdateRankQuantum,2,12,23,120,
2132,accepted,UpdateRankGroup,2,12,24,24,
2132,dispatched,UpdateRankGroup,1,1,24,12,
2133,accepted,UpdateRankQuantum,2,12,24,60,
2133,dispatched,UpdateBrainEngine,3,24,0,3,
2134,accepted,UpdateRankQuantum,1,1,13,120,
2134,dispatched,UpdateRankGroup,2,12,24,24,
2135,accepted,UpdateBrainEngine,2,13,0,2,
2135,dispatched,UpdateRankQuantum,2,12,24,60,
2136,accepted,UpdateRankGroup,1,1,25,13,
2136,dispatched,UpdateRankQuantum,1,1,13,120,
2137,accepted,UpdateBrainEngine,3,25,0,3,
2137,dispatched,UpdateBrainEngine,2,13,0,2,
2138,accepted,UpdateBrainFlowState,2,13,281,1,
2138,dispatched,UpdateRankGroup,1,1,25,13,
2139,accepted,UpdateRankGroup,1,1,26,13,
2139,dispatched,UpdateBrainEngine,3,25,0,3,
2140,accepted,UpdateBrainEngine,3,26,0,3,
2140,dispatched,UpdateBrainFlowState,2,13,281,1,
2141,accepted,UpdateBrainFlowState,2,13,282,2,
2141,dispatched,UpdateRankGroup,1,1,26,13,
2142,accepted,UpdateRankQuantum,1,1,14,120,
2142,dispatched,UpdateBrainEngine,3,26,0,3,
2143,accepted,UpdateBrainEngine,2,14,0,4,
2143,dispatched,UpdateBrainFlowState,2,13,282,2,
2144,accepted,UpdateRankGroup,1,1,27,14,
2144,dispatched,UpdateRankQuantum,1,1,14,120,
2145,accepted,UpdateBrainEngine,3,27,0,3,
2145,dispatched,UpdateBrainEngine,2,14,0,4,
2146,accepted,UpdateRankGroup,2,14,27,27,
2146,dispatched,UpdateRankGroup,1,1,27,14,
2147,accepted,UpdateRankQuantum,2,14,27,120,
2147,dispatched,UpdateBrainEngine,3,27,0,3,
2148,accepted,UpdateRankGroup,1,1,28,14,
2148,dispatched,UpdateRankGroup,2,14,27,27,
2149,accepted,UpdateBrainEngine,3,28,0,3,
2149,dispatched,UpdateRankQuantum,2,14,27,120,
2150,accepted,UpdateRankGroup,2,14,28,28,
2150,dispatched,UpdateRankGroup,1,1,28,14,
2151,accepted,UpdateRankQuantum,2,14,28,120,
2151,dispatched,UpdateBrainEngine,3,28,0,3,
2152,accepted,UpdateRankQuantum,1,1,15,120,
2152,dispatched,UpdateRankGroup,2,14,28,28,
