cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2000,driver_stop,1,1,70,76,1
2018,hardware_stop,1,1,70,77,7
2051,stop_snapshot,1,1,70,89,19
2586,prefill_started,7,1,70,285,215
2657,prefill_finished,7,1,70,312,242
2657,root_detached,1,1,70,312,242
2657,root_published,7,1,70,312,242
2657,drain_watch_armed,1,1,70,312,242
2657,driver_resume,1,1,70,312,242
2658,hardware_resume,1,1,70,312,241
3292,root_detached,7,1,332,339,0
3292,root_published,4,1,334,339,0
3425,clear_engine,7,0,332,343,0
