cycle,request_id,global_flow_id,size_bytes
0,1,1,48
0,2,2,48
0,3,3,48
8,4,1,48
15,5,1,48
15,6,2,48
15,7,3,48
22,8,1,48
30,9,1,48
30,10,2,48
30,11,3,48
38,12,1,48
45,13,1,48
45,14,2,48
45,15,3,48
52,16,1,48
60,17,1,48
60,18,2,48
60,19,3,48
68,20,1,48
75,21,1,48
75,22,2,48
75,23,3,48
82,24,1,48
90,25,1,48
90,26,2,48
90,27,3,48
98,28,1,48
105,29,1,48
105,30,2,48
105,31,3,48
112,32,1,48
120,33,1,48
120,34,2,48
120,35,3,48
128,36,1,48
135,37,1,48
135,38,2,48
135,39,3,48
142,40,1,48
150,41,1,48
150,42,2,48
150,43,3,48
158,44,1,48
165,45,1,48
165,46,2,48
165,47,3,48
172,48,1,48
180,49,1,48
180,50,2,48
180,51,3,48
188,52,1,48
195,53,1,48
195,54,2,48
195,55,3,48
202,56,1,48
210,57,1,48
210,58,2,48
210,59,3,48
218,60,1,48
225,61,1,48
225,62,2,48
225,63,3,48
232,64,1,48
240,65,1,48
240,66,2,48
240,67,3,48
248,68,1,48
255,69,1,48
255,70,2,48
255,71,3,48
262,72,1,48
270,73,1,48
270,74,2,48
270,75,3,48
278,76,1,48
285,77,1,48
285,78,2,48
285,79,3,48
292,80,1,48
300,81,1,48
300,82,2,48
300,83,3,48
308,84,1,48
315,85,1,48
315,86,2,48
315,87,3,48
322,88,1,48
330,89,1,48
330,90,2,48
330,91,3,48
338,92,1,48
345,93,1,48
345,94,2,48
345,95,3,48
352,96,1,48
360,97,1,48
360,98,2,48
360,99,3,48
368,100,1,48
375,101,1,48
375,102,2,48
375,103,3,48
382,104,1,48
390,105,1,48
390,106,2,48
390,107,3,48
398,108,1,48
405,109,1,48
405,110,2,48
405,111,3,48
412,112,1,48
420,113,1,48
420,114,2,48
420,115,3,48
428,116,1,48
435,117,1,48
435,118,2,48
435,119,3,48
442,120,1,48
450,121,1,48
450,122,2,48
450,123,3,48
458,124,1,48
465,125,1,48
465,126,2,48
465,127,3,48
472,128,1,48
480,129,1,48
480,130,2,48
480,131,3,48
488,132,1,48
495,133,1,48
495,134,2,48
495,135,3,48
502,136,1,48
510,137,1,48
510,138,2,48
510,139,3,48
