primitive	count
CARRY8	2048
FDCE	64
FDRE	21526
GND	2
LUT1	6
LUT2	1987
LUT3	16905
LUT4	9690
LUT5	38268
LUT6	39484
MUXF7	2461
MUXF8	1133
VCC	1
