platform,vflows,resource,one_pifo,pifo_count,pifo_total,measurement_kind,source
vivado,32,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json
vivado,64,logic_luts,101751,5,508755,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json
vivado,64,registers,23636,5,118180,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json
vivado,64,bram36_tiles,0.0,5,0.0,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json
vivado,64,uram288_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json
vivado,64,bram_uram_allocated_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json
vivado,64,lutram_luts,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json
vivado,64,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json
vivado,128,logic_luts,104800,5,524000,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json
vivado,128,registers,25676,5,128380,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json
vivado,128,bram36_tiles,0.0,5,0.0,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json
vivado,128,uram288_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json
vivado,128,bram_uram_allocated_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json
vivado,128,lutram_luts,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json
vivado,128,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json
vivado,256,logic_luts,109618,5,548090,sum_of_isolated_components,runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json
vivado,256,registers,27731,5,138655,sum_of_isolated_components,runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json
vivado,256,bram36_tiles,0.0,5,0.0,sum_of_isolated_components,runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json
vivado,256,uram288_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json
vivado,256,bram_uram_allocated_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json
vivado,256,lutram_luts,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json
vivado,256,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json
vivado,512,logic_luts,122391,5,611955,sum_of_isolated_components,runs/pifo-house-1push-v512-c1024-t12-vivado/resource-summary.json
vivado,512,registers,29783,5,148915,sum_of_isolated_components,runs/pifo-house-1push-v512-c1024-t12-vivado/resource-summary.json
vivado,512,bram36_tiles,0.0,5,0.0,sum_of_isolated_components,runs/pifo-house-1push-v512-c1024-t12-vivado/resource-summary.json
vivado,512,uram288_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v512-c1024-t12-vivado/resource-summary.json
vivado,512,bram_uram_allocated_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v512-c1024-t12-vivado/resource-summary.json
vivado,512,lutram_luts,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v512-c1024-t12-vivado/resource-summary.json
vivado,512,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v512-c1024-t12-vivado/resource-summary.json
vivado,1024,logic_luts,121638,5,608190,sum_of_isolated_components,runs/pifo-house-1push-v1024-c1024-t13-vivado/resource-summary.json
vivado,1024,registers,31846,5,159230,sum_of_isolated_components,runs/pifo-house-1push-v1024-c1024-t13-vivado/resource-summary.json
vivado,1024,bram36_tiles,0.0,5,0.0,sum_of_isolated_components,runs/pifo-house-1push-v1024-c1024-t13-vivado/resource-summary.json
vivado,1024,uram288_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v1024-c1024-t13-vivado/resource-summary.json
vivado,1024,bram_uram_allocated_bits,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v1024-c1024-t13-vivado/resource-summary.json
vivado,1024,lutram_luts,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v1024-c1024-t13-vivado/resource-summary.json
vivado,1024,dsp_blocks,0,5,0,sum_of_isolated_components,runs/pifo-house-1push-v1024-c1024-t13-vivado/resource-summary.json
