cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
0,driver_stop,1,1,0,3,2
13,hardware_stop,1,1,1,4,3
46,stop_snapshot,1,1,1,15,14
46,copy_source,3,1,1,15,14
49,copy_source,1,1,1,15,14
104,prefill_started,1,1,1,28,27
106,prefill_finished,1,1,1,31,30
106,root_detached,1,1,1,31,30
106,root_published,1,1,1,31,30
106,drain_watch_armed,2,1,1,31,30
106,driver_resume,1,1,1,31,30
107,hardware_resume,1,1,1,31,30
178,root_detached,1,1,27,31,0
178,root_published,2,2,28,31,0
193,clear_engine,1,0,26,30,0
