event,name,mode,from_policy,to_policy,instruction_count,scheduled_cycle,start_cycle,commit_cycle,finish_cycle,drain_cycle,drain_duration_cycles,dropped_packets,retained_packets,peak_buffer_occupancy_packets,minimum_stop_cycles,stop_duration_cycles,commit_applied_cycle,commit_cycles,bank_cleanup_cycles,install_finish_cycle,resume_cycle,cleanup_start_cycle,cleanup_commit_cycle,cleanup_applied_cycle,cleanup_finish_cycle,cleanup_instruction_count,cleanup_commit_cycles,cleanup_bank_cleanup_cycles,cleanup_of,prefilled_tokens
reconfiguration,request,stop_the_world,,,684,2000,2000,2704,3173,2017,,0,70,499,1025,1152,2706,706,385,3091,3169,3169,3169,3173,3173,1,4,0,,
cleanup_commit,retire,direct,,,1,2000,3169,3169,3173,,,0,0,0,0,,3173,4,0,3173,,,,,,,,,request,
