schema=pifo-transactions-v1 rootEngine=1 rootVPifoId=1 numEngines=7 numVPifos=128 maxPacketPriority=16777216 fifoDepth=4 prefetchBufferDepth=16
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=6 flowId=0 data=3
at=init name=initial mode=direct command=UpdateRankGroup engineId=2 vPifoId=3 flowId=6 data=6
at=init name=initial mode=direct command=UpdateRankQuantum engineId=2 vPifoId=3 flowId=6 data=60
at=init name=initial mode=direct command=UpdateRankQuantum engineId=1 vPifoId=1 flowId=4 data=120
at=init name=initial mode=direct command=UpdateBrainEngine engineId=2 vPifoId=4 flowId=0 data=2
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=7 data=4
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=7 flowId=0 data=3
at=init name=initial mode=direct command=UpdateBrainFlowState engineId=2 vPifoId=4 flowId=263 data=1
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=8 data=4
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=8 flowId=0 data=3
at=init name=initial mode=direct command=UpdateBrainFlowState engineId=2 vPifoId=4 flowId=264 data=2
at=init name=initial mode=direct command=UpdateRankQuantum engineId=1 vPifoId=1 flowId=5 data=120
at=init name=initial mode=direct command=UpdateBrainEngine engineId=2 vPifoId=5 flowId=0 data=4
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=9 data=5
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=9 flowId=0 data=3
at=init name=initial mode=direct command=UpdateRankGroup engineId=2 vPifoId=5 flowId=9 data=9
at=init name=initial mode=direct command=UpdateRankQuantum engineId=2 vPifoId=5 flowId=9 data=120
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=10 data=5
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=10 flowId=0 data=3
at=init name=initial mode=direct command=UpdateRankGroup engineId=2 vPifoId=5 flowId=10 data=10
at=init name=initial mode=direct command=UpdateRankQuantum engineId=2 vPifoId=5 flowId=10 data=120
at=init name=initial mode=direct command=UpdateRankQuantum engineId=1 vPifoId=1 flowId=6 data=120
at=init name=initial mode=direct command=UpdateBrainEngine engineId=2 vPifoId=6 flowId=0 data=4
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=11 data=6
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=11 flowId=0 data=3
at=init name=initial mode=direct command=UpdateRankGroup engineId=2 vPifoId=6 flowId=11 data=11
at=init name=initial mode=direct command=UpdateRankQuantum engineId=2 vPifoId=6 flowId=11 data=120
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=12 data=6
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=12 flowId=0 data=3
at=init name=initial mode=direct command=UpdateRankGroup engineId=2 vPifoId=6 flowId=12 data=12
at=init name=initial mode=direct command=UpdateRankQuantum engineId=2 vPifoId=6 flowId=12 data=60
at=init name=initial mode=direct command=UpdateRankQuantum engineId=1 vPifoId=1 flowId=7 data=120
at=init name=initial mode=direct command=UpdateBrainEngine engineId=2 vPifoId=7 flowId=0 data=2
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=13 data=7
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=13 flowId=0 data=3
at=init name=initial mode=direct command=UpdateBrainFlowState engineId=2 vPifoId=7 flowId=269 data=1
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=14 data=7
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=14 flowId=0 data=3
at=init name=initial mode=direct command=UpdateBrainFlowState engineId=2 vPifoId=7 flowId=270 data=2
at=init name=initial mode=direct command=UpdateRankQuantum engineId=1 vPifoId=1 flowId=8 data=120
at=init name=initial mode=direct command=UpdateBrainEngine engineId=2 vPifoId=8 flowId=0 data=4
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=15 data=8
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=15 flowId=0 data=3
at=init name=initial mode=direct command=UpdateRankGroup engineId=2 vPifoId=8 flowId=15 data=15
at=init name=initial mode=direct command=UpdateRankQuantum engineId=2 vPifoId=8 flowId=15 data=120
at=init name=initial mode=direct command=UpdateRankGroup engineId=1 vPifoId=1 flowId=16 data=8
at=init name=initial mode=direct command=UpdateBrainEngine engineId=3 vPifoId=16 flowId=0 data=3
at=init name=initial mode=direct command=UpdateRankGroup engineId=2 vPifoId=8 flowId=16 data=16
at=init name=initial mode=direct command=UpdateRankQuantum engineId=2 vPifoId=8 flowId=16 data=120
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=1 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=129 data=257
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=1 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=1 flowId=257 data=385
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=1 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=1 flowId=385 data=1
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=2 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=130 data=257
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=2 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=1 flowId=258 data=386
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=2 flowId=0 data=2
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=2 flowId=386 data=2
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=3 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=131 data=258
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=3 flowId=0 data=2
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=2 flowId=259 data=387
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=3 flowId=0 data=3
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=3 flowId=387 data=3
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=4 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=132 data=258
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=4 flowId=0 data=2
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=2 flowId=260 data=388
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=4 flowId=0 data=4
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=4 flowId=388 data=4
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=5 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=133 data=259
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=5 flowId=0 data=3
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=3 flowId=261 data=389
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=5 flowId=0 data=5
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=5 flowId=389 data=5
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=6 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=134 data=259
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=6 flowId=0 data=3
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=3 flowId=262 data=390
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=6 flowId=0 data=6
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=6 flowId=390 data=6
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=7 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=135 data=260
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=7 flowId=0 data=4
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=4 flowId=263 data=391
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=7 flowId=0 data=7
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=7 flowId=391 data=7
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=8 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=136 data=260
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=8 flowId=0 data=4
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=4 flowId=264 data=392
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=8 flowId=0 data=8
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=8 flowId=392 data=8
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=9 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=137 data=261
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=9 flowId=0 data=5
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=5 flowId=265 data=393
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=9 flowId=0 data=9
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=9 flowId=393 data=9
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=10 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=138 data=261
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=10 flowId=0 data=5
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=5 flowId=266 data=394
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=10 flowId=0 data=10
