request_id,flow_id,input_cycle,output_cycle,input_relative_to_start,output_relative_to_start
1,1,0,9,-320,-311
2,2,0,21,-320,-299
3,1,9,33,-311,-287
4,2,9,47,-311,-273
5,1,18,59,-302,-261
6,2,18,71,-302,-249
7,1,25,83,-295,-237
8,2,25,95,-295,-225
9,1,35,109,-285,-211
10,2,35,121,-285,-199
11,1,43,133,-277,-187
12,2,43,147,-277,-173
13,1,51,157,-269,-163
14,2,51,169,-269,-151
15,1,61,181,-259,-139
16,2,61,193,-259,-127
17,1,69,207,-251,-113
18,2,69,219,-251,-101
19,1,79,233,-241,-87
20,2,79,245,-241,-75
21,1,87,257,-233,-63
22,2,87,269,-233,-51
23,1,97,281,-223,-39
24,2,97,293,-223,-27
25,1,106,303,-214,-17
26,2,106,317,-214,-3
27,1,115,329,-205,9
28,2,115,340,-205,20
29,1,122,353,-198,33
30,2,122,367,-198,47
31,1,131,376,-189,56
32,2,131,389,-189,69
33,1,140,400,-180,80
34,2,140,411,-180,91
35,1,148,421,-172,101
36,2,148,435,-172,115
37,1,155,449,-165,129
38,2,155,461,-165,141
39,1,162,472,-158,152
40,2,162,484,-158,164
41,1,171,497,-149,177
42,2,171,510,-149,190
43,1,177,521,-143,201
44,2,177,532,-143,212
45,1,187,543,-133,223
46,2,187,553,-133,233
47,1,194,565,-126,245
48,2,194,574,-126,254
49,1,203,586,-117,266
50,2,203,597,-117,277
51,1,212,608,-108,288
52,2,212,619,-108,299
53,1,222,630,-98,310
54,2,222,643,-98,323
55,1,230,656,-90,336
56,2,230,668,-90,348
57,1,237,681,-83,361
58,2,237,693,-83,373
59,1,247,704,-73,384
60,2,247,716,-73,396
61,1,254,729,-66,409
62,2,254,739,-66,419
63,1,262,750,-58,430
64,2,262,761,-58,441
65,1,270,775,-50,455
66,2,270,788,-50,468
67,1,278,800,-42,480
68,2,278,812,-42,492
69,1,288,823,-32,503
70,2,288,835,-32,515
71,1,298,848,-22,528
72,2,298,860,-22,540
73,1,307,870,-13,550
74,2,307,881,-13,561
75,1,314,893,-6,573
76,2,314,906,-6,586
77,1,322,918,2,598
78,2,322,929,2,609
79,1,331,946,11,626
80,2,331,1585,11,1265
81,1,339,962,19,642
82,2,339,1600,19,1280
83,1,347,979,27,659
84,2,347,1616,27,1296
85,1,356,995,36,675
86,2,356,1633,36,1313
87,1,363,1009,43,689
88,2,363,1649,43,1329
89,1,370,1026,50,706
90,2,370,1664,50,1344
91,1,379,1042,59,722
92,2,379,1679,59,1359
93,1,387,1057,67,737
94,2,387,1694,67,1374
95,1,395,1073,75,753
96,2,395,1709,75,1389
97,1,402,1087,82,767
98,2,402,1724,82,1404
99,1,409,1105,89,785
100,2,409,1740,89,1420
101,1,418,1120,98,800
102,2,418,1755,98,1435
103,1,424,1136,104,816
104,2,424,1770,104,1450
105,1,434,1151,114,831
106,2,434,1785,114,1465
107,1,442,1164,122,844
108,2,442,1802,122,1482
109,1,449,1180,129,860
110,2,449,1818,129,1498
111,1,459,1196,139,876
112,2,459,1833,139,1513
113,1,467,1210,147,890
114,2,467,1848,147,1528
115,1,477,1227,157,907
116,2,477,1863,157,1543
117,1,484,1243,164,923
118,2,484,1879,164,1559
119,1,491,1260,171,940
120,2,491,1894,171,1574
121,1,499,1278,179,958
122,2,499,1911,179,1591
123,1,506,1294,186,974
124,2,506,1926,186,1606
125,1,515,1308,195,988
126,2,515,1942,195,1622
127,1,522,1323,202,1003
128,2,522,1956,202,1636
129,1,530,1338,210,1018
130,2,530,1973,210,1653
131,1,538,1352,218,1032
132,2,538,1989,218,1669
133,1,546,1368,226,1048
134,2,546,2005,226,1685
135,1,553,1384,233,1064
136,2,553,2021,233,1701
137,1,560,1401,240,1081
138,2,560,2036,240,1716
139,1,568,1416,248,1096
140,2,568,2052,248,1732
141,1,575,1433,255,1113
142,2,575,2068,255,1748
143,1,585,1449,265,1129
144,2,585,2083,265,1763
145,1,592,1463,272,1143
146,2,592,2096,272,1776
147,1,600,1476,280,1156
148,2,600,2110,280,1790
149,1,606,1491,286,1171
150,2,606,2126,286,1806
151,1,614,1507,294,1187
152,2,614,2141,294,1821
153,1,622,1522,302,1202
154,2,622,2156,302,1836
155,1,631,1538,311,1218
156,2,631,2170,311,1850
157,1,638,1553,318,1233
158,2,638,2186,318,1866
159,1,648,1570,328,1250
160,2,648,2201,328,1881
