primitive	count
CARRY8	43525
FDCE	92458
FDPE	10330
FDRE	471449
GND	131
LUT1	20584
LUT2	37719
LUT3	27918
LUT4	93643
LUT5	19044
LUT6	394240
MUXF7	14992
MUXF8	7496
RAM256X1D	40
RAM32M	10
RAM32M16	51
RAM32X1D	10
RAMB18E2	10
RAMB36E2	16
RAMD32	794
RAMD64E	320
RAMS32	122
VCC	101
