run,commit,name,start_cycle,commit_cycle,ready_for_next_commit,old_tree_drained_cycle,drain_label,commit_applied_cycle,instruction_count,commit_cycles,bank_replay_cycles
link,C1,replace,2000,2031,2051,2633,old-tree-drained,2034,26,34,17
link,C2,replace-cleanup,2051,2068,2659,2633,old-tree-drained,2652,16,601,7
reserved,C1,replace,2000,2046,2313,2900,old-tree-drained,2284,39,284,29
reserved,C2,replace-cleanup,2313,2334,2934,2900,old-tree-drained,2923,20,610,11
reserved,C3,replace-reclaim,2934,2945,2955,2900,old-tree-drained,2948,11,14,7
copy,C1,replace,2000,2065,2760,3326,old-tree-drained,2711,58,711,49
copy,C2,replace-cleanup,2760,2781,3360,3326,old-tree-drained,3349,20,589,11
copy,C3,replace-reclaim,3360,3371,3381,3326,old-tree-drained,3374,11,14,7
