event,name,mode,from_policy,to_policy,instruction_count,scheduled_cycle,start_cycle,commit_cycle,finish_cycle,drain_cycle,drain_duration_cycles,dropped_packets,retained_packets,peak_buffer_occupancy_packets,minimum_stop_cycles,stop_duration_cycles,commit_applied_cycle,commit_cycles,bank_cleanup_cycles,install_finish_cycle,resume_cycle,cleanup_start_cycle,cleanup_commit_cycle,cleanup_applied_cycle,cleanup_finish_cycle,cleanup_instruction_count,cleanup_commit_cycles,cleanup_bank_cleanup_cycles,cleanup_of,prefilled_tokens
reconfiguration,r4-confined-replace,confined_transitive,p1,p2b,16,2000,2000,2018,3041,3033,1015,0,0,0,0,,2021,21,11,2032,,2032,2038,3039,3041,5,1007,2,,
cleanup_commit,r4-confined-replace-cleanup,direct,,,5,2000,2032,2038,3041,,,0,0,0,0,,3039,1007,2,3041,,,,,,,,,r4-confined-replace,
