primitive	count
CARRY8	11
FDCE	15711
FDPE	2622
FDRE	512
GND	112
LUT1	127
LUT2	1767
LUT3	1749
LUT4	4678
LUT5	7237
LUT6	20139
MUXF7	2182
MUXF8	863
RAM256X1D	10
RAM32M	5
RAM32M16	46
RAM32X1D	20
RAM64M8	60
RAM64X1D	60
RAMB18E2	5
RAMB36E2	2881
RAMD32	714
RAMD64E	680
RAMS32	102
VCC	87
