primitive	count
CARRY8	2048
FDCE	77
FDRE	31777
GND	2
LUT1	29
LUT2	2079
LUT3	27121
LUT4	10966
LUT5	54021
LUT6	48948
MUXF7	3181
MUXF8	1487
VCC	1
