cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2000,driver_stop,1,1,70,76,1
2018,hardware_stop,1,1,70,77,7
2051,stop_snapshot,1,1,70,89,19
3120,prefill_started,7,1,70,481,411
3191,prefill_finished,7,1,70,507,437
3191,root_detached,1,1,70,507,437
3191,root_published,7,1,70,507,437
3191,drain_watch_armed,1,1,70,507,437
3191,driver_resume,1,1,70,507,437
3192,hardware_resume,1,1,70,508,437
4450,root_detached,7,1,505,556,44
4450,root_published,4,1,507,556,44
4711,clear_engine,7,0,505,564,51
