event,name,mode,from_policy,to_policy,instruction_count,scheduled_cycle,start_cycle,commit_cycle,finish_cycle,drain_cycle,drain_duration_cycles,dropped_packets,retained_packets,peak_buffer_occupancy_packets,minimum_stop_cycles,stop_duration_cycles,commit_applied_cycle,commit_cycles,bank_cleanup_cycles,install_finish_cycle,resume_cycle,cleanup_start_cycle,cleanup_commit_cycle,cleanup_applied_cycle,cleanup_finish_cycle,cleanup_instruction_count,cleanup_commit_cycles,cleanup_bank_cleanup_cycles,cleanup_of,prefilled_tokens
reconfiguration,request,stop_the_world_pop,,,1073,2000,2000,3086,4707,3407,321,0,70,507,0,,3191,1191,707,3898,3191,3898,4448,4450,4707,549,552,257,,70
cleanup_commit,collapse,direct,,,549,2000,3898,4448,4907,,,0,0,0,0,,4450,552,257,4707,,4707,4839,4843,4907,132,136,64,request,
cleanup_commit,reclaim,direct,,,132,2000,4707,4839,4907,,,0,0,0,0,,4843,136,64,4907,,,,,,,,,collapse,
