cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2091,accepted,UpdateRankQuantum,4,1,9,120,
2091,dispatched,UpdateBrainEngine,6,9,0,3,
2092,accepted,UpdateBrainEngine,5,9,0,4,
2092,dispatched,UpdateRankGroup,5,5,9,9,
2093,accepted,UpdateRankGroup,4,1,17,9,
2093,dispatched,UpdateRankQuantum,5,5,9,120,
2094,accepted,UpdateBrainEngine,6,17,0,3,
2094,dispatched,UpdateRankGroup,4,1,10,5,
2095,accepted,UpdateRankGroup,5,9,17,17,
2095,dispatched,UpdateBrainEngine,6,10,0,3,
2096,accepted,UpdateRankQuantum,5,9,17,120,
2096,dispatched,UpdateRankGroup,5,5,10,10,
2097,accepted,UpdateRankGroup,4,1,18,9,
2097,dispatched,UpdateRankQuantum,5,5,10,120,
2098,accepted,UpdateBrainEngine,6,18,0,3,
2098,dispatched,UpdateRankQuantum,4,1,6,120,
2099,accepted,UpdateRankGroup,5,9,18,18,
2099,dispatched,UpdateBrainEngine,5,6,0,4,
2100,accepted,UpdateRankQuantum,5,9,18,60,
2100,dispatched,UpdateRankGroup,4,1,11,6,
2101,accepted,UpdateRankQuantum,4,1,10,120,
2101,dispatched,UpdateBrainEngine,6,11,0,3,
2102,accepted,UpdateBrainEngine,5,10,0,2,
2102,dispatched,UpdateRankGroup,5,6,11,11,
2103,accepted,UpdateRankGroup,4,1,19,10,
2103,dispatched,UpdateRankQuantum,5,6,11,120,
2104,accepted,UpdateBrainEngine,6,19,0,3,
2104,dispatched,UpdateRankGroup,4,1,12,6,
2105,accepted,UpdateBrainFlowState,5,10,659,1,
2105,dispatched,UpdateBrainEngine,6,12,0,3,
2106,accepted,UpdateRankGroup,4,1,20,10,
2106,dispatched,UpdateRankGroup,5,6,12,12,
2107,accepted,UpdateBrainEngine,6,20,0,3,
2107,dispatched,UpdateRankQuantum,5,6,12,60,
2108,accepted,UpdateBrainFlowState,5,10,660,2,
2108,dispatched,UpdateRankQuantum,4,1,7,120,
2109,accepted,UpdateRankQuantum,4,1,11,120,
2109,dispatched,UpdateBrainEngine,5,7,0,2,
2110,accepted,UpdateBrainEngine,5,11,0,4,
2110,dispatched,UpdateRankGroup,4,1,13,7,
2111,accepted,UpdateRankGroup,4,1,21,11,
2111,dispatched,UpdateBrainEngine,6,13,0,3,
2112,accepted,UpdateBrainEngine,6,21,0,3,
2112,dispatched,UpdateBrainFlowState,5,7,653,1,
2113,accepted,UpdateRankGroup,5,11,21,21,
2113,dispatched,UpdateRankGroup,4,1,14,7,
2114,accepted,UpdateRankQuantum,5,11,21,120,
2114,dispatched,UpdateBrainEngine,6,14,0,3,
2115,accepted,UpdateRankGroup,4,1,22,11,
2115,dispatched,UpdateBrainFlowState,5,7,654,2,
2116,accepted,UpdateBrainEngine,6,22,0,3,
2116,dispatched,UpdateRankQuantum,4,1,8,120,
2117,accepted,UpdateRankGroup,5,11,22,22,
2117,dispatched,UpdateBrainEngine,5,8,0,4,
2118,accepted,UpdateRankQuantum,5,11,22,120,
2118,dispatched,UpdateRankGroup,4,1,15,8,
2119,accepted,UpdateRankQuantum,4,1,12,120,
2119,dispatched,UpdateBrainEngine,6,15,0,3,
2120,accepted,UpdateBrainEngine,5,12,0,4,
2120,dispatched,UpdateRankGroup,5,8,15,15,
2121,accepted,UpdateRankGroup,4,1,23,12,
2121,dispatched,UpdateRankQuantum,5,8,15,120,
2122,accepted,UpdateBrainEngine,6,23,0,3,
2122,dispatched,UpdateRankGroup,4,1,16,8,
2123,accepted,UpdateRankGroup,5,12,23,23,
2123,dispatched,UpdateBrainEngine,6,16,0,3,
2124,accepted,UpdateRankQuantum,5,12,23,120,
2124,dispatched,UpdateRankGroup,5,8,16,16,
