platform,part,vflows,resource,unit,pifo_one,pifo_count,pifo_total,available,measurement_kind,count_definition,capacity_source,pifo_source,configuration,rio_only,value,utilization_percent,exceeds_capacity,source
quartus,AGFB014R24B2E2V,32,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,static,32.5359375,32.5359375,0.45760812236286924,False,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,32,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,replay,48.575,48.575,0.6831926863572433,False,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,32,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,static,31.0,31.0,6.458333333333333,False,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,32,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,replay,41.0,41.0,8.541666666666666,False,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,64,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,static,136.77109375,136.77109375,1.9236440752461321,False,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,64,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,replay,208.86484375,208.86484375,2.9376208684950775,False,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,64,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,static,121.0,121.0,25.208333333333332,False,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,64,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,replay,161.0,161.0,33.541666666666664,False,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,128,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,static,577.2171875,577.2171875,8.118385196905766,False,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,128,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,replay,897.4359375,897.4359375,12.622165084388186,False,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
