platform,vflows,configuration,part,resource,used,available,utilization_percent,exceeds_capacity
quartus,32,static,AGFB014R24B2E2V,logic_alms,217237,487200,44.58887520525452,False
quartus,32,dynamic,AGFB014R24B2E2V,logic_alms,227676,487200,46.73152709359606,False
vivado,32,static,xcku5p-ffvb676-2-e,logic_luts,512909,216960,236.40717182890856,True
vivado,32,static,xcku5p-ffvb676-2-e,registers,109975,433920,25.344533554572273,False
vivado,32,static,xcku5p-ffvb676-2-e,bram36_tiles,30,480,6.25,False
vivado,32,static,xcku5p-ffvb676-2-e,uram288_blocks,0,64,0.0,False
vivado,32,static,xcku5p-ffvb676-2-e,dsp_blocks,0,1824,0.0,False
vivado,32,dynamic,xcku5p-ffvb676-2-e,logic_luts,513506,216960,236.68233775811208,True
vivado,32,dynamic,xcku5p-ffvb676-2-e,registers,110340,433920,25.428650442477878,False
vivado,32,dynamic,xcku5p-ffvb676-2-e,bram36_tiles,60,480,12.5,False
vivado,32,dynamic,xcku5p-ffvb676-2-e,uram288_blocks,0,64,0.0,False
vivado,32,dynamic,xcku5p-ffvb676-2-e,dsp_blocks,0,1824,0.0,False
vivado,64,static,xcku5p-ffvb676-2-e,logic_luts,505397,216960,232.9447824483776,True
vivado,64,static,xcku5p-ffvb676-2-e,registers,121046,433920,27.89592551622419,False
vivado,64,static,xcku5p-ffvb676-2-e,bram36_tiles,120,480,25.0,False
vivado,64,static,xcku5p-ffvb676-2-e,uram288_blocks,0,64,0.0,False
vivado,64,static,xcku5p-ffvb676-2-e,dsp_blocks,0,1824,0.0,False
vivado,64,dynamic,xcku5p-ffvb676-2-e,logic_luts,517460,216960,238.50479351032448,True
vivado,64,dynamic,xcku5p-ffvb676-2-e,registers,122385,433920,28.204507743362832,False
vivado,64,dynamic,xcku5p-ffvb676-2-e,bram36_tiles,240,480,50.0,False
vivado,64,dynamic,xcku5p-ffvb676-2-e,uram288_blocks,0,64,0.0,False
vivado,64,dynamic,xcku5p-ffvb676-2-e,dsp_blocks,0,1824,0.0,False
