event,name,mode,from_policy,to_policy,instruction_count,scheduled_cycle,start_cycle,commit_cycle,finish_cycle,drain_cycle,drain_duration_cycles,dropped_packets,retained_packets,peak_buffer_occupancy_packets,minimum_stop_cycles,stop_duration_cycles,commit_applied_cycle,commit_cycles,bank_cleanup_cycles,install_finish_cycle,resume_cycle,cleanup_start_cycle,cleanup_commit_cycle,cleanup_applied_cycle,cleanup_finish_cycle,cleanup_instruction_count,cleanup_commit_cycles,cleanup_bank_cleanup_cycles,cleanup_of,prefilled_tokens
reconfiguration,request,stop_the_world_pop,,,99,2000,2000,2112,2498,2433,321,0,70,150,0,,2217,217,63,2280,2217,2280,2321,2479,2498,41,199,19,,70
cleanup_commit,collapse,direct,,,41,2000,2280,2321,2524,,,0,0,0,0,,2479,199,19,2498,,2498,2514,2517,2524,16,19,7,request,
cleanup_commit,reclaim,direct,,,16,2000,2498,2514,2524,,,0,0,0,0,,2517,19,7,2524,,,,,,,,,collapse,
