platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind,part,available,count_definition,capacity_source,pifo_source,static_utilization_percent,replay_utilization_percent,utilization_change_percentage_points,static_source,replay_source
vivado,64,logic_luts,LUTs,5074,6880,103261,5,516305,521379,523185,1806,0.3463890950728741,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,128,logic_luts,LUTs,9318,14375,108338,5,541690,551008,556065,5057,0.9177725187293106,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,256,logic_luts,LUTs,30296,32326,116236,5,581180,611476,613506,2030,0.3319835937959953,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,512,logic_luts,LUTs,74870,84864,120113,5,600565,675435,685429,9994,1.479639047428694,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,1024,logic_luts,LUTs,263973,292886,126266,5,631330,895303,924216,28913,3.229409484833626,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,32,registers,bits,2307,2396,21617,5,108085,110392,110481,89,0.08062178418725995,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,64,registers,bits,3443,4513,23656,5,118280,121723,122793,1070,0.8790450448970203,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,128,registers,bits,7049,9059,25712,5,128560,135609,137619,2010,1.482202508683052,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,256,registers,bits,18700,18845,27749,5,138745,157445,157590,145,0.09209565245006193,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,512,registers,bits,39206,39381,29813,5,149065,188271,188446,175,0.09295111833474087,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,1024,registers,bits,83592,83987,31854,5,159270,242862,243257,395,0.16264380594741046,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,32,bram36_tiles,BRAM36 equivalents,31.0,41.0,0.0,5,0.0,31.0,41.0,10.0,32.25806451612903,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,6.458333333333333,8.541666666666666,2.0833333333333335,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,64,bram36_tiles,BRAM36 equivalents,121.0,161.0,0.0,5,0.0,121.0,161.0,40.0,33.05785123966942,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,25.208333333333332,33.541666666666664,8.333333333333334,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json
vivado,128,bram36_tiles,BRAM36 equivalents,501.0,681.0,0.0,5,0.0,501.0,681.0,180.0,35.92814371257485,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,104.375,141.875,37.5,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
vivado,256,bram36_tiles,BRAM36 equivalents,2083.5,2883.5,0.0,5,0.0,2083.5,2883.5,800.0,38.39692824574034,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,434.0625,600.7291666666666,166.66666666666666,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
vivado,512,bram36_tiles,BRAM36 equivalents,8648.5,12171.0,0.0,5,0.0,8648.5,12171.0,3522.5,40.72960629010811,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,1801.7708333333333,2535.625,733.8541666666666,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
vivado,1024,bram36_tiles,BRAM36 equivalents,35851.0,51213.5,0.0,5,0.0,35851.0,51213.5,15362.5,42.85096650023709,ordinary_RIO_plus_five_matching_PIFOs,mapped_bram36_tile_equivalent,xcku5p-ffvb676-2-e,480,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,7468.958333333333,10669.479166666666,3200.5208333333335,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
