primitive	count
CARRY8	5
FDCE	15620
FDPE	50
FDRE	2156
GND	110
LUT1	104
LUT2	1908
LUT3	2384
LUT4	1907
LUT5	6564
LUT6	17146
MUXF7	1790
MUXF8	805
RAM256X1D	10
RAM32M	5
RAM32M16	50
RAM32X1D	21
RAM64M8	40
RAM64X1D	40
RAMB18E2	5
RAMB36E2	2080
RAMD32	772
RAMD64E	480
RAMS32	110
VCC	79
