event,name,mode,from_policy,to_policy,instruction_count,scheduled_cycle,start_cycle,commit_cycle,finish_cycle,drain_cycle,drain_duration_cycles,dropped_packets,retained_packets,peak_buffer_occupancy_packets,minimum_stop_cycles,stop_duration_cycles,commit_applied_cycle,commit_cycles,bank_cleanup_cycles,install_finish_cycle,resume_cycle,cleanup_start_cycle,cleanup_commit_cycle,cleanup_applied_cycle,cleanup_finish_cycle,cleanup_instruction_count,cleanup_commit_cycles,cleanup_bank_cleanup_cycles,cleanup_of,prefilled_tokens
reconfiguration,request,stop_the_world,,,152,2000,2001,2173,6433,2019,,0,325,624,1025,1025,2176,175,84,2260,3044,3044,3064,6425,6433,20,3381,8,,
cleanup_commit,retire,direct,,,20,2000,3044,3064,6433,,,0,0,0,0,,6425,3381,8,6433,,,,,,,,,request,
