cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2079,accepted,UpdateRankGroup,1,1,3,4,
2079,dispatched,UpdateRankQuantum,1,1,4,30,
2080,accepted,UpdateBrainEngine,3,3,0,3,
2080,dispatched,UpdateBrainEngine,2,4,0,4,
2081,accepted,UpdateRankGroup,2,4,3,3,
2081,dispatched,UpdateRankGroup,1,1,3,4,
2082,accepted,UpdateRankQuantum,2,4,3,120,
2082,dispatched,UpdateBrainEngine,3,3,0,3,
2083,accepted,UpdateRankGroup,1,1,4,4,
2083,dispatched,UpdateRankGroup,2,4,3,3,
2084,accepted,UpdateBrainEngine,3,4,0,3,
2084,dispatched,UpdateRankQuantum,2,4,3,120,
2085,accepted,UpdateRankGroup,2,4,4,4,
2085,dispatched,UpdateRankGroup,1,1,4,4,
2086,accepted,UpdateRankQuantum,2,4,4,120,
2086,dispatched,UpdateBrainEngine,3,4,0,3,
2087,accepted,UpdateMapperPre,1,1,0,1,
2087,dispatched,UpdateRankGroup,2,4,4,4,
2088,accepted,UpdateMapperPost,1,1,17,33,
2088,dispatched,UpdateRankQuantum,2,4,4,120,
2089,accepted,UpdateMapperPre,2,1,0,1,
2089,dispatched,UpdateMapperPre,1,1,0,1,
2090,accepted,UpdateMapperPost,2,1,33,49,
2090,dispatched,UpdateMapperPost,1,1,17,33,
2091,accepted,UpdateMapperPre,3,1,0,1,
2091,dispatched,UpdateMapperPre,2,1,0,1,
2092,accepted,UpdateMapperPost,3,1,49,1,
2092,dispatched,UpdateMapperPost,2,1,33,49,
2093,accepted,UpdateMapperPre,1,2,0,1,
2093,dispatched,UpdateMapperPre,3,1,0,1,
2094,accepted,UpdateMapperPost,1,1,18,33,
2094,dispatched,UpdateMapperPost,3,1,49,1,
2095,accepted,UpdateMapperPre,2,2,0,1,
2095,dispatched,UpdateMapperPre,1,2,0,1,
2096,accepted,UpdateMapperPost,2,1,34,50,
2096,dispatched,UpdateMapperPost,1,1,18,33,
2097,accepted,UpdateMapperPre,3,2,0,2,
2097,dispatched,UpdateMapperPre,2,2,0,1,
2098,accepted,UpdateMapperPost,3,2,50,2,
2098,dispatched,UpdateMapperPost,2,1,34,50,
2099,accepted,UpdateMapperPre,1,9,0,1,
2099,dispatched,UpdateMapperPre,3,2,0,2,
2100,accepted,UpdateMapperPost,1,1,25,34,
2100,dispatched,UpdateMapperPost,3,2,50,2,
2101,accepted,UpdateMapperPre,2,9,0,2,
2101,dispatched,UpdateMapperPre,1,9,0,1,
2102,accepted,UpdateMapperPost,2,2,41,57,
2102,dispatched,UpdateMapperPost,1,1,25,34,
2103,accepted,UpdateMapperPre,3,9,0,9,
2103,dispatched,UpdateMapperPre,2,9,0,2,
2104,accepted,UpdateMapperPost,3,9,57,9,
2104,dispatched,UpdateMapperPost,2,2,41,57,
2105,accepted,UpdateMapperPre,1,10,0,1,
2105,dispatched,UpdateMapperPre,3,9,0,9,
2106,accepted,UpdateMapperPost,1,1,26,34,
2106,dispatched,UpdateMapperPost,3,9,57,9,
2107,accepted,UpdateMapperPre,2,10,0,2,
2107,dispatched,UpdateMapperPre,1,10,0,1,
2108,accepted,UpdateMapperPost,2,2,42,58,
2108,dispatched,UpdateMapperPost,1,1,26,34,
2109,accepted,UpdateMapperPre,3,10,0,10,
2109,dispatched,UpdateMapperPre,2,10,0,2,
2110,accepted,UpdateMapperPost,3,10,58,10,
2110,dispatched,UpdateMapperPost,2,2,42,58,
2111,accepted,UpdateMapperPre,1,5,0,1,
2111,dispatched,UpdateMapperPre,3,10,0,10,
2112,accepted,UpdateMapperPost,1,1,21,35,
2112,dispatched,UpdateMapperPost,3,10,58,10,
